hgnc_symbol,treatment,pathogen,timepoint_comparison,status_original,rank_mouse,rank_human,sign_mouse,sign_concordant,mean_log2fc_mouse,mean_log2fc_human,pred_shared,pred_rank,pred_direction
ABCB4,Injury,Burn,Early hours-Day 7,Human only,80.70973612374887,53.27570518653321,1,FALSE,0.8573973377464732,-0.9621081002442629,NA,76.46138487091943,0.14038196924372046
ABLIM1,Injury,Burn,Early hours-Day 7,Human only,84.66787989080983,81.02820746132848,-1,TRUE,-0.49870148553484484,-1.5812182610943522,NA,92.45149535289735,0.9988
ACAP1,Injury,Burn,Early hours-Day 7,Human only,60.14558689717925,78.43494085532302,-1,FALSE,-0.4067686389687655,1.8188393167035688,NA,67.75958738300562,0.042038095238095236
ACSL1,Injury,Burn,Early hours-Day 7,Shared,88.67151956323931,82.57506824385806,1,TRUE,0.8790323578828989,1.0947519623097186,0.98902886002886,47.490916249870395,1
ACTL6A,Injury,Burn,Early hours-Day 7,Human only,77.61601455868971,18.289353958143767,-1,TRUE,-0.7019623578956526,-0.8449950602936105,NA,36.961878400275374,0.9740000000000001
ACTR6,Injury,Burn,Early hours-Day 7,Human only,25.978161965423112,35.3958143767061,1,FALSE,0.18422568041675724,-0.9356639383746748,NA,68.26258752315057,0.7116611111111113
ADAM9,Injury,Burn,Early hours-Day 7,Human only,76.34212920837125,94.17652411282984,1,TRUE,0.5217910719692913,1.6832260440333262,NA,62.429419761215534,0.9225920150111329
ADRB2,Injury,Burn,Early hours-Day 7,Human only,45.72338489535942,72.4294813466788,1,FALSE,0.3424437692054596,-1.2261852566164402,NA,58.658997007726,0.7086204433497536
AFF3,Injury,Burn,Early hours-Day 7,Shared,89.35395814376706,57.461328480436755,-1,TRUE,-0.6664697101399657,-1.5180834728868398,0.9099681096681097,60.25852813327203,0.7122898601398601
ALPL,Injury,Burn,Early hours-Day 7,Human only,42.12920837124659,99.49954504094632,-1,FALSE,-0.48940330904111384,3.8235670554663104,NA,77.58307654668597,0.13622575202575204
ANXA3,Injury,Burn,Early hours-Day 7,Shared,85.57779799818016,99.81801637852593,1,TRUE,1.145295995755081,3.5687818673005687,0.9975555555555555,91.97658077662803,0.9279021904566025
ANXA5,Injury,Burn,Early hours-Day 7,Mouse only,94.26751592356688,6.414922656960874,1,TRUE,1.2129675242012876,0.5584192309910296,0.6622734487734488,62.74245684084503,0.8069935659112131
APLP2,Injury,Burn,Early hours-Day 7,Mouse only,84.0309372156506,36.2147406733394,1,TRUE,0.7303846413706285,0.9844113394467939,0.5602182493976611,71.38034562650871,0.35684358974358976
AQP9,Injury,Burn,Early hours-Day 7,Shared,94.90445859872611,54.5950864422202,1,TRUE,1.2766125285250745,0.8863383221393919,0.7596384060384059,65.09170448156695,0.9184509334576672
ARG1,Injury,Burn,Early hours-Day 7,Human only,82.52957233848953,99.77252047315741,1,TRUE,1.8689166763582046,4.405410651539935,0.9796444444444445,91.43766159124776,0.9044823187648271
ARG1,Injury,Burn,Early hours-Day 7,Shared,82.52957233848953,99.77252047315741,1,TRUE,1.8689166763582046,4.405410651539935,0.9796444444444445,91.43766159124776,0.9044823187648271
ARL4C,Injury,Burn,Early hours-Day 7,Human only,22.29299363057325,95.63239308462238,-1,TRUE,-0.12598593036978656,-2.151033394515812,NA,83.16584010603765,0.9866666666666667
ARMC1,Injury,Burn,Early hours-Day 7,Human only,36.26023657870792,63.73976342129208,1,FALSE,0.2367688570013673,-1.0715379386204074,NA,67.21015191700864,0.8601833333333333
ARRB2,Injury,Burn,Early hours-Day 7,Shared,91.5832575068244,85.6687898089172,1,TRUE,0.8924170843581845,1.9297534297643661,0.6943345970678787,76.4650653836509,0.9898083333333333
ASGR1,Injury,Burn,Early hours-Day 7,Human only,7.279344858962693,38.762511373976345,1,TRUE,0.1081647690477352,0.9540417090951756,NA,54.30674216167591,0.7233030886433827
ASGR2,Injury,Burn,Early hours-Day 7,Human only,5.18653321201092,43.63057324840764,1,TRUE,0.06994110234629058,1.0564506768092317,NA,74.28383213640409,0.5626
ATP8B2,Injury,Burn,Early hours-Day 7,Shared,64.46769790718835,87.57961783439491,-1,TRUE,-0.5263542788843321,-1.6682909386468614,0.6723818271597684,38.11457153192226,0.9175333333333336
B3GNT5,Injury,Burn,Early hours-Day 7,Human only,95.90536851683349,97.04276615104641,-1,FALSE,-1.0318469293648462,2.191284540526741,NA,59.59335221932485,0.4468849317349319
BANK1,Injury,Burn,Early hours-Day 7,Shared,90.76433121019109,59.00818926296634,-1,TRUE,-0.7278154722931589,-1.4099646698079842,0.7854672354649137,85.68751330703809,1
BANK1,Injury,Burn,Early hours-Day 7,Mouse only,90.76433121019109,59.00818926296634,-1,TRUE,-0.7278154722931589,-1.4099646698079842,0.7854672354649137,85.68751330703809,1
BASP1,Injury,Burn,Early hours-Day 7,Shared,91.3557779799818,86.26023657870792,1,TRUE,1.0924595329397029,1.3072155254115643,0.9806931798806477,58.02229117062319,1
BCL11A,Injury,Burn,Early hours-Day 7,Shared,89.62693357597816,20.609645131938127,-1,TRUE,-0.7909472461503331,-0.7937405762142116,0.9515515151515153,62.14999841319982,1
BCL11A,Injury,Burn,Early hours-Day 7,Mouse only,89.62693357597816,20.609645131938127,-1,TRUE,-0.7909472461503331,-0.7937405762142116,0.9515515151515153,62.14999841319982,1
BCL11B,Injury,Burn,Early hours-Day 7,Shared,84.75887170154685,96.95177434030937,-1,TRUE,-0.6606836541474905,-2.3795982659466794,0.9893777777777778,91.98206647876522,1
BCL11B,Injury,Burn,Early hours-Day 7,Human only,84.75887170154685,96.95177434030937,-1,TRUE,-0.6606836541474905,-2.3795982659466794,0.9893777777777778,91.98206647876522,1
BCL2,Injury,Burn,Early hours-Day 7,Mouse only,87.67060964513193,96.58780709736124,-1,TRUE,-0.7686377317005348,-2.279123873284102,0.987221794871795,93.19464967433616,1
BCL2,Injury,Burn,Early hours-Day 7,Human only,87.67060964513193,96.58780709736124,-1,TRUE,-0.7686377317005348,-2.279123873284102,0.987221794871795,93.19464967433616,1
BCL6,Injury,Burn,Early hours-Day 7,Shared,80.02729754322111,46.04185623293904,1,TRUE,0.5182155815891942,0.7722033931017762,0.8322573237821691,50.45564957112248,0.7991907283662887
BCL6,Injury,Burn,Early hours-Day 7,Mouse only,80.02729754322111,46.04185623293904,1,TRUE,0.5182155815891942,0.7722033931017762,0.8322573237821691,50.45564957112248,0.7991907283662887
BLNK,Injury,Burn,Early hours-Day 7,Mouse only,87.35213830755232,43.26660600545951,-1,TRUE,-0.7146694060045249,-1.265059887755276,0.7359912642912645,74.00287835169567,1
BMX,Injury,Burn,Early hours-Day 7,Shared,98.18016378525932,99.90900818926298,1,TRUE,2.421439955119264,3.673944259626554,0.7993967338217337,87.70355815253913,0.9840090909090908
BST1,Injury,Burn,Early hours-Day 7,Shared,97.77070063694268,94.76797088262057,1,TRUE,2.61371435401038,1.7445633782022076,0.9921841269841271,89.65642175074319,1
C3AR1,Injury,Burn,Early hours-Day 7,Human only,22.383985441310283,63.92174704276615,1,TRUE,0.24682231708443858,1.4224200434588194,NA,82.99354843951795,0.9992777777777778
CAMK4,Injury,Burn,Early hours-Day 7,Human only,31.43767060964513,92.94813466787988,-1,TRUE,-0.30801590917348065,-1.90832947989079,NA,84.257365167348,0.9807333333333332
CAMP,Injury,Burn,Early hours-Day 7,Shared,96.86078252957235,77.97998180163785,1,TRUE,1.8799307394840437,1.6953670239400966,0.9363295230569225,85.04381059150435,0.9598000000000001
CAPG,Injury,Burn,Early hours-Day 7,Human only,15.013648771610555,88.26205641492265,-1,FALSE,-0.0965137250513397,1.7787043973699572,NA,66.1081793267484,0.22998809523809535
CCL5,Injury,Burn,Early hours-Day 7,Human only,13.64877161055505,71.6105550500455,-1,TRUE,-0.1111859797734418,-1.5167384148549115,NA,68.05016010264187,0.16737435897435896
CD14,Injury,Burn,Early hours-Day 7,Shared,99.49954504094632,87.48862602365787,1,TRUE,2.5526216326889095,1.6235817977322666,0.864404806239772,72.92839983373484,0.9986666666666666
CD163,Injury,Burn,Early hours-Day 7,Human only,87.85259326660601,86.16924476797088,-1,FALSE,-1.2835818476560181,1.7574475844438133,NA,68.11212241426816,0.6261777777777779
CD2,Injury,Burn,Early hours-Day 7,Shared,87.57961783439491,95.31392174704277,-1,TRUE,-0.7453571826682808,-1.9895161437056146,0.9718973137973139,82.69873032186602,1
CD28,Injury,Burn,Early hours-Day 7,Mouse only,84.71337579617835,95.54140127388536,-1,TRUE,-0.8022963532224239,-2.30788012353535,0.9284755130981592,85.77038213905969,1
CD28,Injury,Burn,Early hours-Day 7,Shared,84.71337579617835,95.54140127388536,-1,TRUE,-0.8022963532224239,-2.30788012353535,0.9284755130981592,85.77038213905969,1
CD28,Injury,Burn,Early hours-Day 7,Human only,84.71337579617835,95.54140127388536,-1,TRUE,-0.8022963532224239,-2.30788012353535,0.9284755130981592,85.77038213905969,1
