hgnc_symbol,process,rank_mouse,rank_human,rank_diff,dual_rank,conv_rel,mean_log2fc_mouse,mean_log2fc_human,sign_mouse,sign_human,sign_concordant,score_shared,score_rank,score_direction,score_translational,status_original,p_adj_mouse
MMP8,"extracellular matrix, complement",99.63603275705186,100,0.3639672429481351,99.63603275705186,99.27339023564312,3.5811232292909008,5.8594726957877885,1,1,TRUE,0.8773305676558975,85.70684207787589,0.9996,85.67255934104475,Shared,8.450010142682584e-5
UPP1,immune activation - generic cluster,100,99.45404913557779,0.5459508644222097,99.45404913557779,98.91107889461922,4.273608339744105,2.7078417175801333,1,1,TRUE,0.9173764208014209,91.0667463867091,0.9961666666666666,90.71765719222671,Shared,3.132645471643205e-7
SPIB,B cell development/activation,98.67197875166002,98.53917662682603,0.13280212483398657,98.53917662682603,98.4083145064717,-2.656151493989089,-2.0595469999999994,-1,-1,TRUE,0.7466858613608613,52.112702446261224,0.9995,52.0866460950381,Human only,2.123110270648778e-9
PGLYRP1,cell cycle and transcription,98.86260236578708,98.49863512283893,0.3639672429481493,98.49863512283893,98.14013235624078,2.009552014827058,3.183769264367367,1,1,TRUE,0.9476023809523811,67.89102787163789,0.9972000000000001,67.7009329935973,Shared,4.335676898953871e-6
C1QB,antiviral IFN signature,97.72594752186589,98.25072886297376,0.5247813411078681,97.72594752186589,97.21309998385027,3.0702853787177204,2.7678782504151265,1,1,TRUE,0.826515157065157,65.85511610540613,0.8898561403508771,58.60157943991558,Shared,0.0027380280885486645
PAX5,enriched in B cells (I),98.27357237715803,99.60159362549801,1.3280212483399794,98.27357237715803,96.9684784544866,-2.375222381056739,-2.7660229999999997,-1,-1,TRUE,0.8457090354090355,74.25292446798149,1,74.25292446798149,Shared,2.5113992293435556e-9
VPREB3,enriched in B cell differentiation,97.14475431606905,97.54316069057106,0.39840637450200234,97.14475431606905,96.75772342237953,-1.7610571209534713,-2.0380475000000007,-1,-1,TRUE,0.7005054617037596,66.95836203946338,0.9986285714285715,66.86653342866641,Human only,1.9448526461053628e-9
BMX,immune activation - generic cluster,98.18016378525932,99.90900818926298,1.7288444040036524,98.18016378525932,96.48278151781625,2.421439955119264,3.673944259626554,1,1,TRUE,0.7526299691121908,86.69330771998037,0.9924000000000001,86.03443858130852,Shared,1.647938265950286e-4
PYGL,enriched in monocytes (II),98.81710646041856,97.54322111010009,1.2738853503184657,97.54322111010009,96.30063230614977,2.174750446730501,1.8020901968355538,1,1,TRUE,0.8367173151753647,59.6527484262675,1,59.6527484262675,Shared,1.1371741602825251e-5
BACH2,NA,97.54316069057106,99.20318725099602,1.660026560424967,97.54316069057106,95.92391831522957,-2.3261156619422803,-2.3502845000000008,-1,-1,TRUE,NA,74.09383032366296,0.9890333333333334,73.2812679844468,Not LEG,7.797828185328556e-8
HK3,enriched in monocytes (II),96.7697907188353,97.8616924476797,1.0919017288444053,96.7697907188353,95.71315970097723,1.868132843088075,2.7620971565432266,1,1,TRUE,0.9030782661782658,90.32819574231007,1,90.32819574231007,Shared,5.340562553808176e-4
ATP6V0D1,NA,96.19109102646868,95.93285990961911,0.2582311168495721,95.93285990961911,95.68513141404877,1.0328088955052834,1.9551416041414171,1,1,TRUE,NA,57.38717240482496,0.8477666666666667,48.650931859063775,Not LEG,0.020191771398949357
DBP,NA,96.61354581673307,98.14077025232405,1.5272244355909805,96.61354581673307,95.13804013692904,-2.4600121934487786,-1.760997999999999,-1,-1,TRUE,NA,53.88007583111143,0.6088333333333334,32.803986168508345,Not LEG,1.674290176544231e-6
LMNB1,cell cycle and transcription,96.7242948134668,98.54413102820746,1.8198362147406613,96.7242948134668,94.9640710679988,1.362275031629471,2.225928658639634,1,1,TRUE,0.8415604255737383,66.19348506625045,0.9967999999999999,65.98166591403844,Shared,3.541352732012189e-5
B3GNT5,enriched in dendritic cells,95.90536851683349,97.04276615104641,1.1373976342129168,95.90536851683349,94.81454312423985,-1.0318469293648462,2.191284540526741,-1,1,FALSE,NA,62.98871502982507,0.33195555555555556,20.909453891456156,Human only,1.6971938239327875e-5
FCER1G,cell cycle and transcription,95.950864422202,95.35941765241128,0.5914467697907213,95.35941765241128,94.79541745701485,1.0059567981695778,1.7685908957186234,1,1,TRUE,0.9947626984126984,85.93448128621888,1,85.93448128621888,Shared,1.1811615906807893e-5
PSTPIP2,NA,95.1319381255687,94.94995450409463,0.18198362147406044,94.94995450409463,94.77716113830012,1.4188352834004512,1.7267771082584256,1,1,TRUE,NA,56.73042914031059,0.9604666666666667,54.48768617496365,Not LEG,0.001224108698685078
DACH1,immune activation - generic cluster,95.26842584167426,96.08735213830755,0.8189262966332933,95.26842584167426,94.4882476500682,2.7487247122649547,2.1095950040240976,1,1,TRUE,0.821984004884005,74.55861903952972,0.9652666666666666,71.96894967155671,Shared,0.027051196733046817
ANXA1,chemokine cluster (II),96.87915006640107,99.40239043824701,2.5232403718459437,96.87915006640107,94.43465624002441,2.0479377287842606,2.341953000000001,1,1,TRUE,0.5177086580086582,67.69498747946245,0.9938666666666667,67.27979155625509,Shared,7.028824626580575e-8
FLOT2,NA,94.67697907188352,95.22292993630573,0.5459508644222097,94.67697907188352,94.16008928623174,1.4076532436249156,2.3378710174392987,1,1,TRUE,NA,66.465602255604,0.8885333333333333,59.056903124179335,Not LEG,0.0023634496069274273
