model,roc_auc,pr_auc,feature_set,framing,target,task
Logistic Regression,0.46254718464926076,0.7072862114917963,DGE Baseline,A_predictive,shared,classification
Lasso,0.4605811575967285,0.7061989829405674,DGE Baseline,A_predictive,shared,classification
Random Forest,0.5003145643284052,0.7452723856189235,DGE Baseline,A_predictive,shared,classification
Neural Network,0.4986237810632274,0.74741920970101,DGE Baseline,A_predictive,shared,classification
Logistic Regression,0.503047341931425,0.7437065636704201,Full + BTM,A_predictive,shared,classification
Lasso,0.4930599245045612,0.7311770774326118,Full + BTM,A_predictive,shared,classification
Random Forest,0.551706511481598,0.7883368188482928,Full + BTM,A_predictive,shared,classification
Neural Network,0.5691058508965083,0.7770831682722824,Full + BTM,A_predictive,shared,classification
Logistic Regression,0.5242607738282479,0.7578218216878476,DGE Baseline,B_explanatory,shared,classification
Random Forest,0.47937637621893675,0.7209152422910196,DGE Baseline,B_explanatory,shared,classification
Neural Network,0.5379050015728216,0.7658815986739413,DGE Baseline,B_explanatory,shared,classification
Logistic Regression,0.5354474677571563,0.7568115117318847,Full + BTM,B_explanatory,shared,classification
Lasso,0.5370202893991821,0.756460954189375,Full + BTM,B_explanatory,shared,classification
Random Forest,0.5741782006920415,0.8072639447658886,Full + BTM,B_explanatory,shared,classification
Neural Network,0.5747286882667505,0.7724226059237942,Full + BTM,B_explanatory,shared,classification
