source,target,value,step_from,step_to,gse_ids
NA,None,1,0,1,GSE267045
adjuvant,Adjuvant,2,0,1,GSE180384;GSE189000
adjuvant,None,1,0,1,GSE112920
bacteria,Acinobacter baumannii,1,0,1,GSE141729
bacteria,Bovine crucellosis,1,0,1,GSE125765
bacteria,Brucella abortus,1,0,1,GSE121040
bacteria,Brucella melitensis,1,0,1,GSE254248
bacteria,Diphteria-Tetanus-Polio-Pertussis,1,0,1,GSE144218
bacteria,Francisella tularensis,1,0,1,GSE186408
bacteria,Klebsiella,3,0,1,GSE178385;GSE178385;GSE174849
bacteria,Klebsiella pneumoniae,2,0,1,GSE157382;GSE157382
bacteria,Listeria,1,0,1,GSE112741
bacteria,Neisseria meningitidis,9,0,1,GSE139529;GSE139529;GSE131914;GSE132199;GSE132199;GSE224584;GSE224584;GSE104337;GSE104337
bacteria,Pneumococcal,1,0,1,GSE173361
bacteria,Staphylococcus aureus,12,0,1,GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543;GSE193543
bacteria,Tetanus,1,0,1,GSE268421
bacteria,Tuberculosis,20,0,1,GSE164590;GSE100288;GSE100288;GSE226075;GSE244126;GSE261448;GSE212202;GSE212203;GSE213340;GSE213342;GSE212204;GSE135592;GSE135592;GSE135592;GSE261448;GSE139948;GSE139948;GSE264141;GSE264141;GSE264141
fungi,Blastomyces dermatitidis,2,0,1,GSE198466;GSE198466
fungi,Coccidioides posadasii,1,0,1,GSE133140
fungi,Cryptococcus neoformans,1,0,1,GSE271485
multiple,Multiple,3,0,1,GSE120661;GSE120661;GSE120661
protozoa,Leishmania donovani,1,0,1,GSE134661
protozoa,Leishmania infantum,1,0,1,GSE134661
protozoa,Malaria,2,0,1,GSE188659;GSE129133
protozoa,Plasmodium chabaudi (blood-stage),1,0,1,GSE111110
protozoa,Schistosome,5,0,1,GSE222444;GSE164094;GSE164094;GSE164094;GSE164094
virus,Ad26,4,0,1,GSE264344;GSE264344;GSE264344;GSE264344
virus,Andes virus,2,0,1,GSE240062;GSE240062
virus,ChAd,1,0,1,GSE207389
virus,Dengue virus,2,0,1,GSE154371;GSE154371
virus,HBV,1,0,1,GSE120661
virus,HIV,9,0,1,GSE198952;GSE165227;GSE165227;GSE165227;GSE165227;GSE288450;GSE288450;GSE288450;GSE288450
