source,target,value,step_from,step_to,gse_ids,layer
Adjuvant,Adjuvant,3,0,1,GSE120661;GSE120661;GSE120661,pathogen_type to target_pathogen
Bacteria,DTP-IPV-HBV,1,0,1,GSE120661,pathogen_type to target_pathogen
Bacteria,H. influenzae,1,0,1,GSE120661,pathogen_type to target_pathogen
Bacteria,N. meningitidis,6,0,1,GSE131914;GSE132199;GSE132199;GSE139529;GSE139529;GSE224584,pathogen_type to target_pathogen
Bacteria,Tuberculosis,3,0,1,GSE264141;GSE264141;GSE264141,pathogen_type to target_pathogen
Protozoa,Schistosome,2,0,1,GSE164094;GSE222444,pathogen_type to target_pathogen
Virus,Ad26,1,0,1,GSE264344,pathogen_type to target_pathogen
Virus,HBV,1,0,1,GSE120661,pathogen_type to target_pathogen
Virus,Influenza,4,0,1,GSE120661;GSE120661;GSE182858;GSE182858,pathogen_type to target_pathogen
Virus,RSV,2,0,1,GSE143617;GSE143617,pathogen_type to target_pathogen
Virus,SARS-CoV-2,5,0,1,GSE223476;GSE223476;GSE223476;GSE223476;GSE261311,pathogen_type to target_pathogen
Ad26,Whole,1,1,2,GSE264344,target_pathogen to target_antigen
Adjuvant,Adjuvant,3,1,2,GSE120661;GSE120661;GSE120661,target_pathogen to target_antigen
DTP-IPV-HBV,Pentavac,1,1,2,GSE120661,target_pathogen to target_antigen
H. influenzae,PRP,1,1,2,GSE120661,target_pathogen to target_antigen
HBV,Engerix,1,1,2,GSE120661,target_pathogen to target_antigen
Influenza,Agrippal,1,1,2,GSE120661,target_pathogen to target_antigen
Influenza,Fluad,1,1,2,GSE120661,target_pathogen to target_antigen
Influenza,Quadri 2019-2020,2,1,2,GSE182858;GSE182858,target_pathogen to target_antigen
N. meningitidis,ACWY,1,1,2,GSE224584,target_pathogen to target_antigen
N. meningitidis,Bexsero,3,1,2,GSE131914;GSE132199;GSE132199,target_pathogen to target_antigen
N. meningitidis,fHbp,2,1,2,GSE139529;GSE139529,target_pathogen to target_antigen
RSV,F protein,2,1,2,GSE143617;GSE143617,target_pathogen to target_antigen
SARS-CoV-2,RBD,3,1,2,GSE223476;GSE223476;GSE261311,target_pathogen to target_antigen
SARS-CoV-2,Spike,2,1,2,GSE223476;GSE223476,target_pathogen to target_antigen
Schistosome,Whole,2,1,2,GSE164094;GSE222444,target_pathogen to target_antigen
Tuberculosis,Ag85B,3,1,2,GSE264141;GSE264141;GSE264141,target_pathogen to target_antigen
ACWY,PS,1,2,3,GSE224584,target_antigen to vaccine_type
Adjuvant,ADJ,3,2,3,GSE120661;GSE120661;GSE120661,target_antigen to vaccine_type
Ag85B,VV,3,2,3,GSE264141;GSE264141;GSE264141,target_antigen to vaccine_type
Agrippal,IN,1,2,3,GSE120661,target_antigen to vaccine_type
Bexsero,SU,3,2,3,GSE131914;GSE132199;GSE132199,target_antigen to vaccine_type
Engerix,SU,1,2,3,GSE120661,target_antigen to vaccine_type
F protein,SU,2,2,3,GSE143617;GSE143617,target_antigen to vaccine_type
Fluad,IN,1,2,3,GSE120661,target_antigen to vaccine_type
PRP,PS,1,2,3,GSE120661,target_antigen to vaccine_type
Pentavac,Multiple,1,2,3,GSE120661,target_antigen to vaccine_type
Quadri 2019-2020,IN,2,2,3,GSE182858;GSE182858,target_antigen to vaccine_type
RBD,SU,1,2,3,GSE261311,target_antigen to vaccine_type
RBD,VV,2,2,3,GSE223476;GSE223476,target_antigen to vaccine_type
Spike,VV,2,2,3,GSE223476;GSE223476,target_antigen to vaccine_type
Whole,AT,2,2,3,GSE164094;GSE222444,target_antigen to vaccine_type
Whole,VV,1,2,3,GSE264344,target_antigen to vaccine_type
fHbp,VV,2,2,3,GSE139529;GSE139529,target_antigen to vaccine_type
ADJ,Yes,3,3,4,GSE120661;GSE120661;GSE120661,vaccine_type to adjuvanted
AT,No,2,3,4,GSE164094;GSE222444,vaccine_type to adjuvanted
IN,No,1,3,4,GSE182858,vaccine_type to adjuvanted
IN,Yes,2,3,4,GSE120661;GSE182858,vaccine_type to adjuvanted
IN,No,1,3,4,GSE120661,vaccine_type to adjuvanted
Multiple,No,1,3,4,GSE120661,vaccine_type to adjuvanted
PS,No,2,3,4,GSE120661;GSE224584,vaccine_type to adjuvanted
SU,Yes,4,3,4,GSE120661;GSE143617;GSE143617;GSE261311,vaccine_type to adjuvanted
SU,No,3,3,4,GSE131914;GSE132199;GSE132199,vaccine_type to adjuvanted
VV,No,10,3,4,GSE264344;GSE139529;GSE139529;GSE223476;GSE223476;GSE223476;GSE223476;GSE264141;GSE264141;GSE264141,vaccine_type to adjuvanted
No,IN,1,4,5,GSE182858,adjuvanted to administration_route
Yes,IM,7,4,5,GSE120661;GSE120661;GSE120661;GSE120661;GSE120661;GSE143617;GSE143617,adjuvanted to administration_route
Yes,IN,1,4,5,GSE182858,adjuvanted to administration_route
Yes,No info,1,4,5,GSE261311,adjuvanted to administration_route
No,IM,12,4,5,GSE264344;GSE120661;GSE120661;GSE120661;GSE131914;GSE132199;GSE132199;GSE139529;GSE139529;GSE223476;GSE223476;GSE264141,adjuvanted to administration_route
No,IN,2,4,5,GSE223476;GSE223476,adjuvanted to administration_route
No,IV,1,4,5,GSE264141,adjuvanted to administration_route
No,No info,1,4,5,GSE224584,adjuvanted to administration_route
No,PerC,2,4,5,GSE164094;GSE222444,adjuvanted to administration_route
No,SC,1,4,5,GSE264141,adjuvanted to administration_route
IM,Blood,19,5,6,GSE264344;GSE120661;GSE120661;GSE120661;GSE120661;GSE120661;GSE120661;GSE120661;GSE120661;GSE131914;GSE132199;GSE132199;GSE139529;GSE139529;GSE143617;GSE143617;GSE223476;GSE223476;GSE264141,administration_route to main_sample_source
IN,Blood,4,5,6,GSE182858;GSE182858;GSE223476;GSE223476,administration_route to main_sample_source
IV,Blood,1,5,6,GSE264141,administration_route to main_sample_source
No info,Blood,2,5,6,GSE224584;GSE261311,administration_route to main_sample_source
PerC,Blood,2,5,6,GSE164094;GSE222444,administration_route to main_sample_source
SC,Blood,1,5,6,GSE264141,administration_route to main_sample_source
