"id","acc","source"
"E-MTAB-12156","E-MTAB-12156","biostudies-arrayexpress"
"E-GEOD-45644","E-GEOD-45644","biostudies-arrayexpress"
"E-GEOD-50855","E-GEOD-50855","biostudies-arrayexpress"
"E-GEOD-69611","E-GEOD-69611","biostudies-arrayexpress"
"E-GEOD-39110","E-GEOD-39110","biostudies-arrayexpress"
"E-GEOD-59454","E-GEOD-59454","biostudies-arrayexpress"
"E-GEOD-7768","E-GEOD-7768","biostudies-arrayexpress"
"E-GEOD-30564","E-GEOD-30564","biostudies-arrayexpress"
"E-GEOD-43503","E-GEOD-43503","biostudies-arrayexpress"
"E-GEOD-63825","E-GEOD-63825","biostudies-arrayexpress"
"E-MTAB-7482","E-MTAB-7482","biostudies-arrayexpress"
"E-GEOD-15750","E-GEOD-15750","biostudies-arrayexpress"
"E-GEOD-23713","E-GEOD-23713","biostudies-arrayexpress"
"E-TABM-826","E-TABM-826","biostudies-arrayexpress"
"E-GEOD-51849","E-GEOD-51849","biostudies-arrayexpress"
"E-GEOD-5398","E-GEOD-5398","biostudies-arrayexpress"
"E-GEOD-66797","E-GEOD-66797","biostudies-arrayexpress"
"E-MTAB-1896","E-MTAB-1896","biostudies-arrayexpress"
"E-GEOD-25677","E-GEOD-25677","biostudies-arrayexpress"
"E-GEOD-46421","E-GEOD-46421","biostudies-arrayexpress"
"E-GEOD-58810","E-GEOD-58810","biostudies-arrayexpress"
"E-GEOD-68770","E-GEOD-68770","biostudies-arrayexpress"
"E-GEOD-68769","E-GEOD-68769","biostudies-arrayexpress"
"E-GEOD-7548","E-GEOD-7548","biostudies-arrayexpress"
"E-GEOD-68768","E-GEOD-68768","biostudies-arrayexpress"
"E-GEOD-73118","E-GEOD-73118","biostudies-arrayexpress"
"E-GEOD-76502","E-GEOD-76502","biostudies-arrayexpress"
"E-GEOD-73001","E-GEOD-73001","biostudies-arrayexpress"
"E-MTAB-8870","E-MTAB-8870","biostudies-arrayexpress"
"E-GEOD-27149","E-GEOD-27149","biostudies-arrayexpress"
"E-GEOD-82126","E-GEOD-82126","biostudies-arrayexpress"
"E-GEOD-64434","E-GEOD-64434","biostudies-arrayexpress"
"E-GEOD-50764","E-GEOD-50764","biostudies-arrayexpress"
"E-GEOD-58014","E-GEOD-58014","biostudies-arrayexpress"
"E-MTAB-12942","E-MTAB-12942","biostudies-arrayexpress"
"E-GEOD-18804","E-GEOD-18804","biostudies-arrayexpress"
"E-GEOD-20265","E-GEOD-20265","biostudies-arrayexpress"
"E-GEOD-35547","E-GEOD-35547","biostudies-arrayexpress"
"E-GEOD-42459","E-GEOD-42459","biostudies-arrayexpress"
"E-MTAB-2271","E-MTAB-2271","biostudies-arrayexpress"
"E-GEOD-68771","E-GEOD-68771","biostudies-arrayexpress"
"E-GEOD-77113","E-GEOD-77113","biostudies-arrayexpress"
"E-MTAB-9059","E-MTAB-9059","biostudies-arrayexpress"
"E-MTAB-9558","E-MTAB-9558","biostudies-arrayexpress"
"E-MTAB-9580","E-MTAB-9580","biostudies-arrayexpress"
"E-GEOD-27960","E-GEOD-27960","biostudies-arrayexpress"
"E-GEOD-58659","E-GEOD-58659","biostudies-arrayexpress"
"E-TABM-1094","E-TABM-1094","biostudies-arrayexpress"
