title,project_description,gse_id,keywords,notes,timepoints,time_type,doses,vaccine_type,pathogen_type,target_pathogen,specific_pathogen,target_antigen,specific_antigen,adjuvanted,viral_vector,main_sample_source,specific_sample_source,administration_route,sequencing,gpl,gdstype,taxon,pdat,suppfile,pubmedids
Transcriptome response of lung in response to vaccination of inactivated whole cells of A. baumannii,"We apply RNAseq of lung tissues to study the innate immune response to vaccination of inactivated whole cells of A. baumanni. Overall design: Rag1-/- mice were immunized intranasally with A. baumannii IWC and then challenged with a lethal dose of A. baumannii at day 7 after immunization. Lung samples were collected from  control mice, mice immunized with IWC at day 2,  day 7 after immunization with IWC,  A. baumanni infected mice at 24 hours post infection and IWC immunized mice at 7 day after A. baumannii challenge at 24 hours post infection.",GSE141729,"Acinobacter baumannii, bacteria, lungs, intranasal, challenge",Vaccination and challenge,2//7//1,Day,NA,IN,Bacteria,A. baumannii,NA,Whole,NA,NA,NA,Lung,NA,IN,Bulk,GPL21273,Expression profiling by high throughput sequencing,Mus musculus,2021/09/29,XLSX,34544549
Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,"As the first responders to immunological challenges, the innate immune system has the potential to shape and regulate the ensuing adaptive immune response. Many clinical studies evaluating the role of various innate populations in initiating vaccine-elicited immunity have been largely relegated to blood. It is also largely unknown how the immune response to vaccination is initiating and evolving at the earliest time points post-vaccination. We sought to investigate the spatiotemporal evolution of the earliest immune responses to intramuscular adenovirus serotype 26 (Ad26) vector vaccination in blood and tissues. Using transcriptomic profiling, we show that Ad26 vector vaccination elicits broad transcriptomic changes as early as 1 hour post-vaccination across blood and tissues marked by IL-1, TNF-α, and IL-6 pro-inflammatory pathways. Immunologic data reveals an influx of Ly6C+ myeloid cells into muscle by 1 hour post-vaccination. A Ly6C+CD64+ population emerges in muscle and subsequently in the draining lymph node, suggesting that myeloid cells may be significant drivers of vaccine-elicited immune responses following intramuscular vaccination. Moreover, levels of IL-6, MIG, MIP-1α, and MIP-1β measured in serum at 6 hours post-vaccination positively correlated with the frequency of vaccine-elicited CD8+ T cell responses evaluated at 60 days post-vaccination. Taken together, our data suggests that the immune response to Ad26 vector vaccination commences by 1 hour across compartments and that events at as early as 6 hours post-vaccination can shape vaccine-elicited CD8+ T cell responses at memory time points. Overall design: In this study, we evaluated the early spatiotemporal evolution of the immune response following Ad serotype 26 (Ad26) vector vaccination, focusing on the first 24 hours post-vaccination. We evaluated transcriptomic signatures, cytokine and chemokine profiles, and cellular responses at various time points beginning as early as 1 hour post-vaccination to elucidate the induction of the immunological cascade. These studies highlight that the immune response commences by 1 hour and rapidly evolves across blood and tissues within the first 24 hours post-vaccination.",GSE264344,"adenovirus, blood, tissues, intramuscular",NA,1//3//6//12//24//72,Hour,NA,VV,Virus,Ad26,NA,Whole,NA,NA,Ad (Ad26),Blood,NA,IM,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2024/12/05,CSV,39464013; 40162786
Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,"As the first responders to immunological challenges, the innate immune system has the potential to shape and regulate the ensuing adaptive immune response. Many clinical studies evaluating the role of various innate populations in initiating vaccine-elicited immunity have been largely relegated to blood. It is also largely unknown how the immune response to vaccination is initiating and evolving at the earliest time points post-vaccination. We sought to investigate the spatiotemporal evolution of the earliest immune responses to intramuscular adenovirus serotype 26 (Ad26) vector vaccination in blood and tissues. Using transcriptomic profiling, we show that Ad26 vector vaccination elicits broad transcriptomic changes as early as 1 hour post-vaccination across blood and tissues marked by IL-1, TNF-α, and IL-6 pro-inflammatory pathways. Immunologic data reveals an influx of Ly6C+ myeloid cells into muscle by 1 hour post-vaccination. A Ly6C+CD64+ population emerges in muscle and subsequently in the draining lymph node, suggesting that myeloid cells may be significant drivers of vaccine-elicited immune responses following intramuscular vaccination. Moreover, levels of IL-6, MIG, MIP-1α, and MIP-1β measured in serum at 6 hours post-vaccination positively correlated with the frequency of vaccine-elicited CD8+ T cell responses evaluated at 60 days post-vaccination. Taken together, our data suggests that the immune response to Ad26 vector vaccination commences by 1 hour across compartments and that events at as early as 6 hours post-vaccination can shape vaccine-elicited CD8+ T cell responses at memory time points. Overall design: In this study, we evaluated the early spatiotemporal evolution of the immune response following Ad serotype 26 (Ad26) vector vaccination, focusing on the first 24 hours post-vaccination. We evaluated transcriptomic signatures, cytokine and chemokine profiles, and cellular responses at various time points beginning as early as 1 hour post-vaccination to elucidate the induction of the immunological cascade. These studies highlight that the immune response commences by 1 hour and rapidly evolves across blood and tissues within the first 24 hours post-vaccination.",GSE264344,"adenovirus, blood, tissues, intramuscular",NA,1//3//6//12//24//72,Hour,NA,VV,Virus,Ad26,NA,Whole,NA,NA,Ad (Ad26),Muscle,NA,IM,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2024/12/05,CSV,39464013; 40162786
Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,"As the first responders to immunological challenges, the innate immune system has the potential to shape and regulate the ensuing adaptive immune response. Many clinical studies evaluating the role of various innate populations in initiating vaccine-elicited immunity have been largely relegated to blood. It is also largely unknown how the immune response to vaccination is initiating and evolving at the earliest time points post-vaccination. We sought to investigate the spatiotemporal evolution of the earliest immune responses to intramuscular adenovirus serotype 26 (Ad26) vector vaccination in blood and tissues. Using transcriptomic profiling, we show that Ad26 vector vaccination elicits broad transcriptomic changes as early as 1 hour post-vaccination across blood and tissues marked by IL-1, TNF-α, and IL-6 pro-inflammatory pathways. Immunologic data reveals an influx of Ly6C+ myeloid cells into muscle by 1 hour post-vaccination. A Ly6C+CD64+ population emerges in muscle and subsequently in the draining lymph node, suggesting that myeloid cells may be significant drivers of vaccine-elicited immune responses following intramuscular vaccination. Moreover, levels of IL-6, MIG, MIP-1α, and MIP-1β measured in serum at 6 hours post-vaccination positively correlated with the frequency of vaccine-elicited CD8+ T cell responses evaluated at 60 days post-vaccination. Taken together, our data suggests that the immune response to Ad26 vector vaccination commences by 1 hour across compartments and that events at as early as 6 hours post-vaccination can shape vaccine-elicited CD8+ T cell responses at memory time points. Overall design: In this study, we evaluated the early spatiotemporal evolution of the immune response following Ad serotype 26 (Ad26) vector vaccination, focusing on the first 24 hours post-vaccination. We evaluated transcriptomic signatures, cytokine and chemokine profiles, and cellular responses at various time points beginning as early as 1 hour post-vaccination to elucidate the induction of the immunological cascade. These studies highlight that the immune response commences by 1 hour and rapidly evolves across blood and tissues within the first 24 hours post-vaccination.",GSE264344,"adenovirus, blood, tissues, intramuscular",NA,1//3//6//12//24//72,Hour,NA,VV,Virus,Ad26,NA,Whole,NA,NA,Ad (Ad26),Lymph node,NA,IM,Bulk,GPL19057,Expression profiling by high throughput sequencing,Mus musculus,2024/12/05,CSV,39464013; 40162786
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.",GSE120661,"reactogenicity, pbmcs, different licensed vaccines,",Reactogenicity,4//8//24//48//72//168,Hour,NA,ADJ,Adjuvant,Adjuvant,NA,Adjuvant,NA,IPA,NA,Blood,PBMCs,IM,Microarray,GPL10787,Expression profiling by array,Mus musculus,2019/01/31,TXT,31084714
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.",GSE120661,"reactogenicity, pbmcs, different licensed vaccines,",Reactogenicity,4//8//24//48//72//168,Hour,NA,ADJ,Adjuvant,Adjuvant,NA,Adjuvant,NA,LPS,NA,Blood,PBMCs,IM,Microarray,GPL10787,Expression profiling by array,Mus musculus,2019/01/31,TXT,31084714
Identification of Biomarkers of Vaccine Reactogenicity,"Systems vaccinology approaches have been used to successfully define early signatures of the vaccine-induced immune response. However, the possibility that transcriptomics can also predict vaccine reactogenicity has not been fully explored. We have compared four licensed vaccines that have a demonstrated safety profile, as well as three agonists of TLRs that have a known inflammatory potential, to elucidate the transcriptomic profile of an acceptable response to a vaccination versus those which push the inflammatory envelope. In mice, we looked at the transcriptomic changes in the injected muscle, the lymph node that drained the muscle and the PBMC isolated from the circulating blood from the very early timepoint of 4 hours to over the period of one week. A detailed examination and comparative analysis of the transcriptome from each of these tissues, at all the timepoints of 4, 8, 24, 48, 72 and 168 hr and with these eight different vaccines, TLR or saline control injections, revealed a set of novel biomarkers that are reflective of inflammation after vaccination. These biomarkers are easily sampled and readily measurable in the peripheral blood, providing a useful tool to predict levels of reactogenicity, as a way to select candidates with acceptable immunogenicity and safety profiles. Overall design: High-quality RNA samples isolated from muscle tissue excised around the injection site, the draining medial iliac lymph nodes (MLN) and total PBMCs of mice at 4, 8, 24, 48, 72, 168 hours after the vaccination were subjected to genome-wide transcriptome analysis.",GSE120661,"reactogenicity, pbmcs, different licensed vaccines,",Reactogenicity,4//8//24//48//72//168,Hour,NA,ADJ,Adjuvant,Adjuvant,NA,Adjuvant,NA,Poly I:C,NA,Blood,PBMCs,IM,Microarray,GPL10787,Expression profiling by array,Mus musculus,2019/01/31,TXT,31084714
Single Cell RNA-seq of the draining lymph nodes of mice treated with either 3M052 or Yellow Fever Vaccine (YF),"Purpose: To understand the innate immune response to an adjuvant, 3M052, and yellow fever vaccine, YFV Methods: Draining lymph nodes were negatively selected for CD19+ and CD3+, then flow sorted into four populations: Dendritic cells (DCs), Double positive cells (DP, CD11b+BST1+), Ly6c+ cells (Ly6c), and plasmacytoid dendritic cells (pDCs). Lymph nodes were harvested at baseline (D0), 24 hours post-treatment (D1) or 28 days post-treatment (D28). Results: TBD Conclusions: TBD Overall design: scRNA of murine lymph nodes after treatment with the adjuvant 3M052 or Yellow Fever vaccine.",GSE180384,"scRNAseq, yellow fever, adjuvant",NA,0//1//28,Day,NA,ADJ,Adjuvant,Adjuvant,NA,Adjuvant,NA,3M052-Alum,NA,Lymph node,NA,SC,scRNAseq,GPL21103,Expression profiling by high throughput sequencing,Mus musculus,2021/12/05,"CSV, MTX, TSV",35087093
Dithranol as novel co-adjuvant for non-invasive dermal vaccination,"The goal of this study is to compare dithranol or IMI-Sol induced transcriptome profiles in murine skin. Overall design: Expression profiling by high throughput sequencing of RNA from murine ear skin that was either treated with dithranol-vaseline (1/16%, 25mg) or IMI-Sol (containing 5% Imiquimod, 50mg) for 24 hours.",GSE189000,coadjuvant,NA,24.0,Hour,NA,ADJ,Adjuvant,Adjuvant,NA,Adjuvant,NA,IMI-Sol,NA,Skin,NA,TransC,Bulk,GPL17021,Expression profiling by high throughput sequencing,Mus musculus,2022/09/28,TXT,36153349
Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],"Andes virus (ANDV) is a rodent-borne zoonotic orthohantavirus endemic in South America that causes hantavirus pulmonary syndrome in humans, with up to a 40% case fatality rate. We developed ANDV mRNA vaccines based on the M segment of the viral genome that codes for glycoproteins Gn and Gc in a single open reading frame of glycoprotein precursor (GPC). We generated RNAs either with regular uridine (U-mRNA) or N1-methylpseudouridine (m1Ψ-mRNA). Mice immunized by either ANDV U-mRNA or m1Ψ-mRNA developed similar germinal center responses in lymph nodes. Single cell RNA and BCR sequencing of germinal center B cells from vaccinated mice demonstrated similar levels of activation, except an additional cluster of cells exhibiting strong interferon response that was present in animals vaccinated with U-mRNA but not m1Ψ-mRNA. Furthermore, similar immunoglobulin class-switching and somatic hypermutations were observed for the two vaccines. Golden Syrian hamsters were immunized intramuscularly with 2 doses of the vaccines on days 0 and 21. The titers of Gn/Gc-binding antibodies were moderately greater for U-mRNA construct than for m1Ψ-mRNA construct, however, the titers of ANDV-neutralizing antibodies were equivalent. Vaccinated animals were challenged with a lethal dose of ANDV at 21 days after the boost, along with the naïve control group. All control animals succumbed to infection whereas all vaccinated animals survived without any detectable disease or viral load. The data demonstrate the development of effective vaccines against ANDV and the lack of a significant effect of m1Ψ mRNA modification on immunogenicity and protection in the hamster model. Overall design: Ten-week-old BALB/c mice, four per group, were immunized intramuscularly with one dose of 25 µg of either U-mRNA or m1Ψ-mRNA formulated with LNP. Twelve days after immunization animals were euthanized, and draining inguinal and popliteal lymph nodes harvested and pooled for each mouse for cell sorting. Germinal center B cells were sorted and sequenced to generate single cell 5' gene expression and V(D)J libraries.",GSE240062,"andes virus, mrna, m segment, intramuscular, vdj",NA,12.0,Day,NA,RNA,Virus,Andes virus,NA,M segment,NA,NA,NA,Lymph node,GC B cells,ID,scRNA,GPL24247,Expression profiling by high throughput sequencing,Mus musculus,2024/07/01,H5AD,39080316
