gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,adjuvant,administration_route,main_sample_source,specific_sample_source,sequencing
GSE141729,Transcriptome response of lung in response to vaccination of inactivated whole cells of A. baumannii,34544549,Bacteria,A. baumannii,Whole,IN,NA,NA,IN,Lung,NA,Bulk
GSE264344,Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,39464013; 40162786,Virus,Ad26,Whole,VV,NA,NA,IM,Blood,NA,Bulk
GSE264344,Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,39464013; 40162786,Virus,Ad26,Whole,VV,NA,NA,IM,Muscle,NA,Bulk
GSE264344,Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,39464013; 40162786,Virus,Ad26,Whole,VV,NA,NA,IM,Lymph node,NA,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Adjuvant,Adjuvant,Adjuvant,ADJ,Yes,IPA,IM,Blood,PBMCs,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Adjuvant,Adjuvant,Adjuvant,ADJ,Yes,LPS,IM,Blood,PBMCs,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Adjuvant,Adjuvant,Adjuvant,ADJ,Yes,Poly I:C,IM,Blood,PBMCs,Microarray
GSE180384,Single Cell RNA-seq of the draining lymph nodes of mice treated with either 3M052 or Yellow Fever Vaccine (YF),35087093,Adjuvant,Adjuvant,Adjuvant,ADJ,Yes,3M052-Alum,SC,Lymph node,NA,scRNAseq
GSE189000,Dithranol as novel co-adjuvant for non-invasive dermal vaccination,36153349,Adjuvant,Adjuvant,Adjuvant,ADJ,Yes,IMI-Sol,TransC,Skin,NA,Bulk
GSE240062,Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],39080316,Virus,Andes virus,M segment,RNA,NA,NA,ID,Lymph node,GC B cells,scRNA
GSE240062,Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],39080316,Virus,Andes virus,M segment,RNA,NA,NA,ID,Lymph node,GC B cells,VDJseq
GSE198466,Single cell analysis uncovers novel populations of CD4+ T cells associated with antifungal vaccine efficacy,36060075,Fungi,B. dermatitidis,Bl-Eng2,SU,NA,NA,IN,Lung,TCD4,scRNAseq
GSE198466,Single cell analysis uncovers novel populations of CD4+ T cells associated with antifungal vaccine efficacy,36060075,Fungi,B. dermatitidis,Bl-Eng2,SU,NA,NA,SC,Lung,TCD4,scRNAseq
GSE125765,RNA-sequencing of NALT from mouse after intranasal immunization with B. abortus rMDH loaded chitosan nanoparticles (CNs),32027689,Bacteria,Bovine crucellosis,rMDH protein,SU,NA,NA,IN,Nasal-associated lymphoid tissue,NALT,Bulk
GSE121040,Transcriptome analysis of Brucella abortus S19∆per (a perosaminesynthetase gene mutant of strain S19)  immunized mice spleen revealed activation of MHC-I and MHC-II pathways,33062939,Bacteria,Brucella,S19∆per mutant,AT,NA,NA,IPeri,Spleen,NA,Bulk
GSE254248,Transcriptional profiling of spleens from mice challenged with Brucella melitensis with or without prior vaccination.,38586904,Bacteria,Brucella,Whole,AT,NA,NA,SC,Spleen,NA,Bulk
GSE271485,Innate cells and STAT1-dependent signals orchestrate vaccine-induced protection against invasive Cryptococcus infection,39324785,Fungi,C. neoformans,Whole,AT,NA,NA,IPeri,Lung,NA,Bulk
GSE133140,CARD9-associated Dectin-1 and Dectin-2 are Required for Protective Immunity of a Multivalent Vaccine Against Coccidioides posadasii Infection,32358020,Fungi,C. posadasii,GCP-rCpa1,SU,NA,NA,SC,Bone marrow,macrophages,Bulk
GSE268421,Immunization Induces Inflammation in the Mouse Heart during Spaceflight,40065216,Bacteria,C. tetani,Tetanus toxin,TX,Yes,CpG,IPeri,Heart,NA,Bulk
GSE207389,Splenic memory CD8 T cell signature of enhanced responsiveness to vaccine boost,36865556,Virus,ChAd,Whole,VV,NA,NA,IM,Spleen,NA,Bulk
GSE154371,Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,33101316,Virus,Dengue virus,ED3,SU,NA,NA,IM,Spleen,B cells,Bulk
GSE154371,Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,33101316,Virus,Dengue virus,Whole,INF,NA,NA,IM,Spleen,B cells,Bulk
GSE144218,Transcriptional responses in muscle of pregnant mouse upon immunization,32219001,Bacteria,DTP,Boostrix,Multiple,NA,NA,IM,Muscle,NA,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Bacteria,DTP-IPV-HBV,Pentavac,Multiple,NA,NA,IM,Blood,PBMCs,Microarray
GSE186408,Novel transcriptional and translational biomarkers of tularemia vaccine efficacy in a mouse inhalation model: proof of concept,NA,Bacteria,F. tularensis,Whole,AT,NA,NA,ID,Spleen,NA,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Bacteria,H. influenzae,PRP,PS,NA,NA,IM,Blood,PBMCs,Microarray
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,HBV,Engerix,SU,Yes,Alum,IM,Blood,PBMCs,Microarray
GSE198952,Differential gene expression in W614A-3S peptide-specific B cell populations following W614A-3S peptide-KLH vaccination using Squalene emulsion and Alum formulation,35464449,Virus,HIV,Peptide,SU,Yes,Alum,IM,Lymph node,B cells,RT-PCR
