Title,1. Comparative Transcriptome of cattle PBMCs post Mycobacterium tuberculosis infection
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA1160243
ID,ID: 1160243
,
Title,2. PEGboIFN-lambda as a FMD preexposure prophylactic and vaccine adjuvant in cattle—ISG and adaptive immunity gene expression
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA1090536
ID,ID: 1090536
,
Title,"3. Effect of vaccination, marketing strategy, and bovine respiratory disease development on at arrival transcriptomes of recently weaned beef cattle"
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA902008
ID,ID: 902008
,
Title,4. Influence of vaccination and time on gene expression of healthy backgrounded beef cattle
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA843055
ID,ID: 843055
,
Title,"5. Effects of maternal gestational diet, with or without methionine, on muscle transcriptome of Bos indicus-influenced beef calves following a vaccine-induced immunological challenge"
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA706009
ID,ID: 706009
,
Title,6. Whole blood transcriptome analysis during immunization and mammary challenge with E. coli
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA668296
ID,ID: 668296
,
Title,7. Transcriptome analysis of mammary CD45+ CD4+ lymphocytes after immunization against E. coli P4 strain and homologous challenge
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA668294
ID,ID: 668294
,
Title,8. Mucosal immune response to persistent Mycobacterium avium ssp. Paratuberculosis (MAP) infection in bovine gut-associated lymphoid tissues
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA595402
ID,ID: 595402
,
Title,9. Challenging bovine foot skin fibroblasts with digital dermatitis treponemes: effects on global gene expression
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA574149
ID,ID: 574149
,
Title,10. RNA-Seq analysis of ileocecal valve and peripheral blood from Holstein cattle infected with Mycobacterium avium subsp. paratuberculosis
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA565369
ID,ID: 565369
,
Title,11. Novel roles for GZMA and RASGRP1 in suppressing dissemination of both Theileria annulata-transformed macrophages and human B-lymphoma cells
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA558688
ID,ID: 558688
,
Title,12. Transcriptome profiles of the different expression genes in peripheral blood mononuclear cells (PBMCs) of calves infected with two different virulent Mycoplasma bovis strains
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA433922
ID,ID: 433922
,
Title,13. Clearance of a persistent picornavirus infection is associated with enhanced pro-apoptotic and cellular immune responses
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA408127
ID,ID: 408127
,
Title,14. Transcriptomic blood responses to mycobacteria in a BCG challenge model
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA335422
ID,ID: 335422
,
Title,15. Transcriptomic Analysis of Persistent Infection with Foot-and-Mouth Disease Virus in Cattle Suggests Impairment of Apoptosis and Cell-Mediated Immunity in the Nasopharynx
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA326239
ID,ID: 326239
,
Title,16. Correlative gene expression to protective seroconversion in Rift Valley Fever vaccinates
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA291193
ID,ID: 291193
,
Title,17. Bos taurus breed:Holstein-Fresian Transcriptome or Gene expression
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA273618
ID,ID: 273618
,
Title,18. Key hub and bottleneck genes differentiate the macrophage response to virulent and attenuated Mycobacterium bovis
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA256183
ID,ID: 256183
,
Title,19. Granule-exocytosis of granulysin and granzyme B as a potential key mechanism in vaccine-induced immunity in cattle against the nematode Ostertagia ostertagi
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA178643
ID,ID: 178643
,
Title,20. Global gene expression analysis in vaccinated cattle
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA168509
ID,ID: 168509
,
Title,21. Expression data from primary bovine mammary epithelial cells (pbMEC) primed with 100 ng/ml LPS and subsequently challenged with heat inactivated E. coli particles after a short or long waiting period
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA147399
ID,ID: 147399
,
Title,22. The vitamin D receptor and inducible nitric oxide synthase associated pathways in the development of acquired resistance to Cooperia oncophora infection in cattle
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA132957
ID,ID: 132957
,
Title,23. Comparison of gene expression by co-cultured WC1+ gammadelta and CD4+ alphabeta T cells
Organism,Organism: Bos taurus (Taxonomy ID 9913)
BioProject Accession,BioProject Accession: PRJNA96889
ID,ID: 96889
,
Title,24. Transcriptional responses of Middle East respiratory syndrome coronavirus (MERS-CoV) in marmosets
Organism,Organism: Callithrix jacchus (Taxonomy ID 9483)
BioProject Accession,BioProject Accession: PRJNA238265
ID,ID: 238265
,
Title,25. Biomarkers for canine Leptospira vaccine potency
Organism,Organism: Canis lupus (Taxonomy ID 9612)
BioProject Accession,BioProject Accession: PRJNA793869
ID,ID: 793869
,
Title,26. RNA sequencing-based transcriptome profiling of treatment-naive oral melanoma-affected dogs and their first relapse.
Organism,Organism: Canis lupus familiaris (Taxonomy ID 9615)
BioProject Accession,BioProject Accession: PRJNA475196
ID,ID: 475196
,
Title,27. Gene expression profile of small intestinal mucosa in dog repeatedly infected with the cestode Echinococcus multilocularis
Organism,Organism: Canis lupus familiaris (Taxonomy ID 9615)
BioProject Accession,BioProject Accession: PRJNA414635
ID,ID: 414635
,
Title,28. miRNAs expression profile in goat peripheral blood mononuclear cells (PBMCs) infected with Nigeria 75/1 vaccine virus
Organism,Organism: Capra aegagrus (Taxonomy ID 9923)
BioProject Accession,BioProject Accession: PRJNA657627
ID,ID: 657627
,
Title,29. PBMC immune transcriptome analysis in kids fed on doe's milk(Control) versus  kids fed on replacer milk (Test) post-PPR vaccination
Organism,Organism: Capra hircus (Taxonomy ID 9925)
BioProject Accession,BioProject Accession: PRJNA926603
ID,ID: 926603
,
Title,30. Biomarkers for Early Stages of Johne’s Disease Infection and Immunization in Goats
Organism,Organism: Capra hircus (Taxonomy ID 9925)
BioProject Accession,BioProject Accession: PRJNA483205
ID,ID: 483205
,
Title,31. Therapeutic Prime/Pull Vaccination of HSV-2 Infected Guinea Pigs with the Ribonucleotide Reductase 2 (RR2) and CXCL11 boosts TRM and TEM CD4+/CD8+ T cells to protect from recurrent genital herpes
Organism,Organism: Cavia porcellus (Taxonomy ID 10141)
BioProject Accession,BioProject Accession: PRJNA1088087
ID,ID: 1088087
,
Title,32. mRNA vaccination induces tick resistance and prevents transmission of the Lyme Disease agent
Organism,Organism: Cavia porcellus (Taxonomy ID 10141)
BioProject Accession,BioProject Accession: PRJNA762943
