title,organism,bio_project_accession,id
Comparative Transcriptome of cattle PBMCs post Mycobacterium tuberculosis infection,Bos taurus (9913),PRJNA1160243,1160243
PEGboIFN-lambda as a FMD preexposure prophylactic and vaccine adjuvant in cattle—ISG and adaptive immunity gene expression,Bos taurus (9913),PRJNA1090536,1090536
"Effect of vaccination, marketing strategy, and bovine respiratory disease development on at arrival transcriptomes of recently weaned beef cattle",Bos taurus (9913),PRJNA902008,902008
Influence of vaccination and time on gene expression of healthy backgrounded beef cattle,Bos taurus (9913),PRJNA843055,843055
"Effects of maternal gestational diet, with or without methionine, on muscle transcriptome of Bos indicus-influenced beef calves following a vaccine-induced immunological challenge",Bos taurus (9913),PRJNA706009,706009
Whole blood transcriptome analysis during immunization and mammary challenge with E. coli,Bos taurus (9913),PRJNA668296,668296
Transcriptome analysis of mammary CD45+ CD4+ lymphocytes after immunization against E. coli P4 strain and homologous challenge,Bos taurus (9913),PRJNA668294,668294
Mucosal immune response to persistent Mycobacterium avium ssp. Paratuberculosis (MAP) infection in bovine gut-associated lymphoid tissues,Bos taurus (9913),PRJNA595402,595402
Challenging bovine foot skin fibroblasts with digital dermatitis treponemes: effects on global gene expression,Bos taurus (9913),PRJNA574149,574149
RNA-Seq analysis of ileocecal valve and peripheral blood from Holstein cattle infected with Mycobacterium avium subsp. paratuberculosis,Bos taurus (9913),PRJNA565369,565369
Novel roles for GZMA and RASGRP1 in suppressing dissemination of both Theileria annulata-transformed macrophages and human B-lymphoma cells,Bos taurus (9913),PRJNA558688,558688
Transcriptome profiles of the different expression genes in peripheral blood mononuclear cells (PBMCs) of calves infected with two different virulent Mycoplasma bovis strains,Bos taurus (9913),PRJNA433922,433922
Clearance of a persistent picornavirus infection is associated with enhanced pro-apoptotic and cellular immune responses,Bos taurus (9913),PRJNA408127,408127
Transcriptomic blood responses to mycobacteria in a BCG challenge model,Bos taurus (9913),PRJNA335422,335422
Transcriptomic Analysis of Persistent Infection with Foot-and-Mouth Disease Virus in Cattle Suggests Impairment of Apoptosis and Cell-Mediated Immunity in the Nasopharynx,Bos taurus (9913),PRJNA326239,326239
Correlative gene expression to protective seroconversion in Rift Valley Fever vaccinates,Bos taurus (9913),PRJNA291193,291193
Bos taurus breed:Holstein-Fresian Transcriptome or Gene expression,Bos taurus (9913),PRJNA273618,273618
Key hub and bottleneck genes differentiate the macrophage response to virulent and attenuated Mycobacterium bovis,Bos taurus (9913),PRJNA256183,256183
Granule-exocytosis of granulysin and granzyme B as a potential key mechanism in vaccine-induced immunity in cattle against the nematode Ostertagia ostertagi,Bos taurus (9913),PRJNA178643,178643
Global gene expression analysis in vaccinated cattle,Bos taurus (9913),PRJNA168509,168509
Expression data from primary bovine mammary epithelial cells (pbMEC) primed with 100 ng/ml LPS and subsequently challenged with heat inactivated E. coli particles after a short or long waiting period,Bos taurus (9913),PRJNA147399,147399
The vitamin D receptor and inducible nitric oxide synthase associated pathways in the development of acquired resistance to Cooperia oncophora infection in cattle,Bos taurus (9913),PRJNA132957,132957
Comparison of gene expression by co-cultured WC1+ gammadelta and CD4+ alphabeta T cells,Bos taurus (9913),PRJNA96889,96889
