title,organism,bio_project_accession,id
Bulk RNA sequencing data of femur bone marrow tissue derived from mice intramuscularly injected with a SARS-CoV2 mRNA vaccine,Mus musculus (10090),PRJNA1237780,1237780
Ectopic germinal centers in the nasal turbinates contribute to B cell immunity to intranasal viral infection and vaccination,Mus musculus (10090),PRJNA1223792,1223792
Identification of two transitional stem-like memory CD8+ T cell states during viral infection and vaccination,Mus musculus (10090),PRJNA1221968,1221968
Vaccines combining slow release and follicle targeting of antigens increase germinal center B cell clonal diversity and clonal expansion,Mus musculus (10090),PRJNA1217578,1217578
Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,Mus musculus (10090),PRJNA1189001,1189001
Differential gene expression of BCG-vaccinated mice with M. tuberculosis infection upon adoptive transfer of M. tuberculosis-Ag-treated dendritic cells,Mus musculus (10090),PRJNA1187852,1187852
Transcriptional analysis of blood-borne immune cells induced by VSV-based vaccines: A comparison before and after immunization,Mus musculus (10090),PRJNA1179920,1179920
Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using whole lymph node),Mus musculus (10090),PRJNA1174196,1174196
Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using dendritic cell of lymph node),Mus musculus (10090),PRJNA1174191,1174191
Lipid nanoparticles as adjuvant of Norovirus VLP vaccine augment cellular and humoral immune responses in a TLR 9- and type I IFN-dependent pathway,Mus musculus (10090),PRJNA1172312,1172312
Recombinant RSV G protein vaccine induces enhanced respiratory disease via IL-13 and mucin overproduction,Mus musculus (10090),PRJNA1136980,1136980
Innate cells and STAT1-dependent signals orchestrate vaccine-induced protection against invasive Cryptococcus infection,Mus musculus (10090),PRJNA1131807,1131807
Personalized dendritic cell vaccine facilitates the preparation of neoantigen-reactive T cells for adoptive transfer (scRNA-Seq),Mus musculus (10090),PRJNA1129585,1129585
RNA sequencing of lymph nodes in CXCL13-immunized versus non-Immunized mice,Mus musculus (10090),PRJNA1118020,1118020
Immunization Induces Inflammation in the Mouse Heart during Spaceflight,Mus musculus (10090),PRJNA1117072,1117072
Towards melanoma in situ vaccination with multiple ultra-narrow X-ray beams,Mus musculus (10090),PRJNA1116151,1116151
Gene expresion profile of different clusters of antigen specific CD4+ T cells induced by vaccines containing high doses of MHC-II restricted neoantigens,Mus musculus (10090),PRJNA1116135,1116135
Effect of mRNA vaccine on Epigenetic and Transcriptomic Profiles of Kupffer Cells (RNA-Seq),Mus musculus (10090),PRJNA1109402,1109402
Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,Mus musculus (10090),PRJNA1102021,1102021
RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,Mus musculus (10090),PRJNA1101044,1101044
Early transcriptomic response of innate immune cells  to subcutaneous BCG vaccination of mice,Mus musculus (10090),PRJNA1086964,1086964
Vaccine based on immune evasion mutations integrated RBD protein have broad protection against SARS-CoV-2 [mRNA-seq],Mus musculus (10090),PRJNA1086470,1086470
Time-dependent enhancement of mRNA vaccines by 4-1BB costimulatory antibodies,Mus musculus (10090),PRJNA1083572,1083572
Transcriptomic and V(D)J profiling at the single cell level of plasmablasts from lymph nodes of mice immunized with bMOG protein,Mus musculus (10090),PRJNA1082281,1082281
Transcriptional profiling of spleens from mice challenged with Brucella melitensis with or without prior vaccination.,Mus musculus (10090),PRJNA1069075,1069075
COL6A6 peptide vaccine ameliorates atherosclerosis through inducing immune response and regulating lipid metabolism in ApoE-/- mice,Mus musculus (10090),PRJNA1030016,1030016
The XX sex chromosome complement provides enhanced responses to heat-killed Streptococcus pneumoniae immunization in a gut microbiome-dependent manner.,Mus musculus (10090),PRJNA1025029,1025029
BCG vaccination stimulates Integrated Organ Immunity by feedback of the adaptive immune response to imprint prolonged innate antiviral resistance,Mus musculus (10090),PRJNA1021327,1021327
"F2833 scRNA-seq data for manuscript ""Therapeutic vaccine containing a novel liposomal adjuvant shifts pathogenic Th17 cells into a Tr1-like phenotype""",Mus musculus (10090),PRJNA1005277,1005277
"F2702 bulk RNA-seq data for manuscript ""Therapeutic vaccine containing a novel liposomal adjuvant shifts pathogenic Th17 cells into a Tr1-like phenotype""",Mus musculus (10090),PRJNA1005270,1005270
Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],Mus musculus (10090),PRJNA1002186,1002186
RNA-seq analysis of myeloid cells in dLNs post-administration of mRNA vaccine,Mus musculus (10090),PRJNA1001335,1001335
Micronanoparticled risedronate exhibits potent vaccine adjuvant effects [scRNA-Seq],Mus musculus (10090),PRJNA1000479,1000479
Micronanoparticled risedronate exhibits potent vaccine adjuvant effects [RNA-Seq],Mus musculus (10090),PRJNA1000477,1000477
Transcriptome atlas of injection site response reveals initial mechanisms of mRNA vaccine immunity,Mus musculus (10090),PRJNA999716,999716
Analysis of mouse antigen specific germinal centre B cell subset gene signatures in presence and absence of kidney disease during T dependent immunization,Mus musculus (10090),PRJNA994959,994959
"Single-cell comparison of day 7 vaccine, listeria and vaccinia virus elicited CD8 T cells",Mus musculus (10090),PRJNA994916,994916
Vaccine Infection T cell Comparison,Mus musculus (10090),PRJNA994915,994915
Effect of a dendritic cells derived extracellular vesicle as therapeutic vaccine platform to induce neuroprotective immunity for spinal cord injury,Mus musculus (10090),PRJNA986559,986559
An mRNA-based universal vaccine candidate confers improved cross-protection against heterosubtypic influenza viruses in mice,Mus musculus (10090),PRJNA982857,982857
BCG vaccination reprograms the function of myeloid cells and aggravates necrotizing enterocolitis in neonates,Mus musculus (10090),PRJNA980208,980208
Bulk neocortical RNA sequencing of rNLS8 mice (on mixed C57BL/6J × C3H/HeJ background ) +/- active immunization with C-terminal hTDP-43 antigens,Mus musculus (10090),PRJNA977561,977561
Mouse ear tissue at 7 days post immunization,Mus musculus (10090),PRJNA962929,962929
Mouse ear tissue at 21 days post immunization,Mus musculus (10090),PRJNA962928,962928
Mouse ear tissue at 2 days post immunization,Mus musculus (10090),PRJNA962919,962919
Therapeutic vaccine induced plasma cell differentiation is defective upon persistent HBsAg stimulation [scRNA],Mus musculus (10090),PRJNA962880,962880
Therapeutic vaccine induced plasma cell differentiation is defective upon persistent HBsAg stimulation [bulkRNA],Mus musculus (10090),PRJNA962879,962879
Effect of intranasal vaccination on transcriptome of mouse lung immune cells,Mus musculus (10090),PRJNA955185,955185
Low protease activity in B cell follicles promotes retention of intact antigens after immunization,Mus musculus (10090),PRJNA951674,951674
Intranasal delivery of NS1-deleted influenza virus vectored COVID-19 vaccine restrains the SARS-CoV-2 inflammatory response (Mouse Lung scRNA-seq Data),Mus musculus (10090),PRJNA950408,950408
Intranasal delivery of NS1-deleted influenza virus vectored COVID-19 vaccine restrains the SARS-CoV-2 inflammatory response (Mouse Lung RNA-seq Data),Mus musculus (10090),PRJNA946278,946278
Mycolic acid nanoparticle vaccination leads to lipid antigen persistence and unique differentiation of mycobacterial-specific T cells,Mus musculus (10090),PRJNA938471,938471
Synthetic self-adjuvanted lipopeptide vaccines conferred protection against Helicobacter pylori infection,Mus musculus (10090),PRJNA938108,938108
Polyvalent mRNA vaccination elicited potent immune response to monkeypox surface antigens,Mus musculus (10090),PRJNA934311,934311
Natural killer cell transcriptomics following vaccinia virus infection of mice,Mus musculus (10090),PRJNA934308,934308
mRNA and lncRNA profiling of mice spleens inoculated with group ACYW135 meningococcal polysaccharide vaccine,Mus musculus (10090),PRJNA931916,931916
Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,Mus musculus (10090),PRJNA926503,926503
Gene expression signatures to the radiation attenuated Schistosome Vaccine,Mus musculus (10090),PRJNA922116,922116
Single-cell transcriptomes and T Cell receptors of vaccine-expanded Apolipoprotein B-specific T cells,Mus musculus (10090),PRJNA913827,913827
Intrinsic innate immunostimulation by small circRNA vaccines [BMDCs],Mus musculus (10090),PRJNA912723,912723
Adenosine deaminase augments SARS-CoV-2 specific cellular and humoral responses in aged mouse models of immunization and challenge,Mus musculus (10090),PRJNA897899,897899
Transcriptomic profiling of mouse spleen mascrophages following adjuvant vaccination,Mus musculus (10090),PRJNA891883,891883
Development of next-generation therapeutic antibodies using rapid mRNA immunization of humanized mice,Mus musculus (10090),PRJNA890315,890315
Interventional hydrogel microsphere vaccine as an immune amplifier for activated antitumour immunity after ablation therapy,Mus musculus (10090),PRJNA890235,890235
Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis II,Mus musculus (10090),PRJNA880578,880578
Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis I,Mus musculus (10090),PRJNA880577,880577
BCG vaccination of mice elicits transcriptional changes in blood that predict protection against M.tb. challenge,Mus musculus (10090),PRJNA876124,876124
Single-cell gene expression analysis of pulmonary immune cells from BCG-vaccinated and CoMtb mice [scRNAseq],Mus musculus (10090),PRJNA874454,874454
Gene expression analysis of mouse alveolar macrophages infected with Mycobacterium tuberculosis isolated from BCG-vaccinated mice [balRNAseq],Mus musculus (10090),PRJNA874453,874453
Gene expression analysis of alveolar macrophages from BCG-vaccinated and CoMtb mice stimulated ex vivo [exvivoRNAseq],Mus musculus (10090),PRJNA874452,874452
Splenic memory CD8 T cell signature of enhanced responsiveness to vaccine boost,Mus musculus (10090),PRJNA854971,854971
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],Mus musculus (10090),PRJNA847932,847932
Gene expression profile at single cell level of splenic antigen specific memory B-cells after immunization with the Fentanyl-VAST vaccine platform,Mus musculus (10090),PRJNA834835,834835
Variant-specific vaccination induces systems immune responses and potent in vivo protection against SARS-CoV-2 [scRNA-seq],Mus musculus (10090),PRJNA830587,830587
Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,Mus musculus (10090),PRJNA817611,817611
Differential gene expression in W614A-3S peptide-specific B cell populations following W614A-3S peptide-KLH vaccination using Squalene emulsion and Alum formulation,Mus musculus (10090),PRJNA817566,817566
