MM.Entrez,row,EffectSize,condition
11298,11298,-0.04704460072687944,Fluad_4_PBMC
11298,11298,0.08609159552095358,Fluad_8_PBMC
11298,11298,0.2485319986271679,Fluad_24_PBMC
11298,11298,0.2766072472091472,Fluad_48_PBMC
11298,11298,0.320977180237922,Fluad_72_PBMC
11298,11298,0.10858924267374759,Fluad_168_PBMC
11302,11302,0.1784295304079202,Fluad_4_PBMC
11302,11302,0.10909340738674933,Fluad_8_PBMC
11302,11302,0.14019920495610583,Fluad_24_PBMC
11302,11302,0.09921102291498318,Fluad_48_PBMC
11302,11302,0.00733629669770508,Fluad_72_PBMC
11302,11302,0.07475364136596552,Fluad_168_PBMC
11303,11303,-0.007387394529707603,Fluad_4_PBMC
11303,11303,-0.050695741408125716,Fluad_8_PBMC
11303,11303,-0.1229824492360061,Fluad_24_PBMC
11303,11303,-0.09292548725784933,Fluad_48_PBMC
11303,11303,-0.059801026267517265,Fluad_72_PBMC
11303,11303,0.01913971681058957,Fluad_168_PBMC
11304,11304,-0.3042473530861123,Fluad_4_PBMC
11304,11304,0.06662113985897,Fluad_8_PBMC
11304,11304,0.1550121720363138,Fluad_24_PBMC
11304,11304,-0.048748113454982755,Fluad_48_PBMC
11304,11304,0.029970214732076395,Fluad_72_PBMC
11304,11304,0.04827816455487599,Fluad_168_PBMC
11305,11305,0.017717133792356066,Fluad_4_PBMC
11305,11305,-0.04375002414678342,Fluad_8_PBMC
11305,11305,-0.2937474850122861,Fluad_24_PBMC
11305,11305,-0.08812906672537091,Fluad_48_PBMC
11305,11305,-0.10129083202246081,Fluad_72_PBMC
11305,11305,-0.021334108729947232,Fluad_168_PBMC
11306,11306,0.02295622163002653,Fluad_4_PBMC
11306,11306,0.04502638447748408,Fluad_8_PBMC
11306,11306,0.16747776210464504,Fluad_24_PBMC
11306,11306,-0.06496658344043471,Fluad_48_PBMC
11306,11306,0.08661498752709385,Fluad_72_PBMC
11306,11306,0.04773655864920778,Fluad_168_PBMC
11307,11307,0.022879392644250096,Fluad_4_PBMC
11307,11307,-0.005508577820890981,Fluad_8_PBMC
11307,11307,-0.016852170839654512,Fluad_24_PBMC
11307,11307,0.007196763674166551,Fluad_48_PBMC
11307,11307,0.010734021586296105,Fluad_72_PBMC
11307,11307,-9.068944529673217e-4,Fluad_168_PBMC
11308,11308,-0.024138270295352537,Fluad_4_PBMC
11308,11308,0.016962540366481704,Fluad_8_PBMC
11308,11308,-0.14672182970382242,Fluad_24_PBMC
11308,11308,-0.18194100850796513,Fluad_48_PBMC
11308,11308,-0.0017116749974652734,Fluad_72_PBMC
11308,11308,0.011837286437955896,Fluad_168_PBMC
11350,11350,0.01097713025297331,Fluad_4_PBMC
11350,11350,-0.03701386529003825,Fluad_8_PBMC
11350,11350,-0.08321022284574076,Fluad_24_PBMC
11350,11350,-0.05798632716266949,Fluad_48_PBMC
11350,11350,-0.05107899581182229,Fluad_72_PBMC
11350,11350,-0.03626512009196858,Fluad_168_PBMC
11352,11352,-0.0141086032274238,Fluad_4_PBMC
11352,11352,-0.15959246116799175,Fluad_8_PBMC
11352,11352,-0.32447528572380735,Fluad_24_PBMC
11352,11352,-0.1094596702184849,Fluad_48_PBMC
11352,11352,-0.1111794934493382,Fluad_72_PBMC
11352,11352,-0.06863092802187687,Fluad_168_PBMC
11363,11363,0.03891207436666955,Fluad_4_PBMC
11363,11363,-0.08634396511666642,Fluad_8_PBMC
11363,11363,-0.4259247230315073,Fluad_24_PBMC
11363,11363,-0.16010946631886291,Fluad_48_PBMC
11363,11363,-0.042763311914680635,Fluad_72_PBMC
11363,11363,0.03334914798308386,Fluad_168_PBMC
11364,11364,1.3134577571483064e-4,Fluad_4_PBMC
11364,11364,-0.02953517152570795,Fluad_8_PBMC
11364,11364,-0.07149427345996084,Fluad_24_PBMC
11364,11364,-0.025238975066572245,Fluad_48_PBMC
11364,11364,-0.025764880429816284,Fluad_72_PBMC
11364,11364,0.023440045796106812,Fluad_168_PBMC
11370,11370,0.017781733238630526,Fluad_4_PBMC
11370,11370,-0.016568087831479783,Fluad_8_PBMC
11370,11370,-0.030685059749485433,Fluad_24_PBMC
11370,11370,-0.04113140360652956,Fluad_48_PBMC
11370,11370,-0.056337607760019726,Fluad_72_PBMC
11370,11370,-0.027345802764886074,Fluad_168_PBMC
11409,11409,-0.022486301922376217,Fluad_4_PBMC
11409,11409,-0.14109641694620878,Fluad_8_PBMC
11409,11409,-0.3033439058141294,Fluad_24_PBMC
11409,11409,-0.15854143956518296,Fluad_48_PBMC
11409,11409,-0.20609144431123783,Fluad_72_PBMC
11409,11409,0.04143916729986552,Fluad_168_PBMC
11416,11416,0.0851259847135899,Fluad_4_PBMC
11416,11416,-0.0310420189822449,Fluad_8_PBMC
11416,11416,-0.010791807785989427,Fluad_24_PBMC
11416,11416,-0.08375066664315067,Fluad_48_PBMC
11416,11416,-0.21681853176056176,Fluad_72_PBMC
