process_go,process,go_term,immune_system,immune_subsystem,cells,set_size,genes,immune_set
ACTIVATED T CELL PROLIFERATION,"Proliferation, T cell, Activated",GO:0050798,Adaptive,Cellular,T cell,3,"ABL1,STAT5B,IL2",ImmuneGO by Modules
ACTIVATION OF IMMUNE RESPONSE,"Activation, Immune response",GO:0002253,General,Immune,Undefined,1,HMSD,ImmuneGO by Modules
ACTIVATION OF INNATE IMMUNE RESPONSE,"Activation, Innate immune response",GO:0002218,Innate,General,Undefined,16,"STING1,MAVS,NLRP10,XRCC5,MNDA,CGAS,TLR4,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,HMGB1",ImmuneGO by Modules
ACTIVATION-INDUCED CELL DEATH OF T CELLS,"Cell death, Activation-induced, T cell",GO:0006924,Adaptive,Cellular,T cell,3,"FAS,RPS6,AKT1",ImmuneGO by Modules
ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,Acute inflammatory response to antigenic stimulus,GO:0002438,Innate,Inflammation,Undefined,5,"NLRP6,ELANE,IL31RA,CD6,CXCR2",ImmuneGO by Modules
ADAPTIVE IMMUNE RESPONSE,Adaptive Immune response,GO:0002250,Adaptive,General,Lymphocyte,330,"TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17",ImmuneGO by Modules
ALPHA-BETA T CELL ACTIVATION,"Activation, abT cell",GO:0046631,Adaptive,Cellular,T cell,3,"CD247,CD3G",ImmuneGO by Modules
ALPHA-BETA T CELL DIFFERENTIATION,"Differentiation, abT cell",GO:0046632,Adaptive,Cellular,T cell,6,"RPL22,BRAF,GLI3,ADA,ABL1,ZAP70",ImmuneGO by Modules
ALPHA-BETA T CELL LINEAGE COMMITMENT,"Lineage commitment, abT cell",GO:0002363,Adaptive,Cellular,T cell,1,RHOA,ImmuneGO by Modules
ALPHA-BETA T CELL PROLIFERATION,"Proliferation, abT cell",GO:0046633,Adaptive,Cellular,T cell,2,"CLEC4G,PTPRC",ImmuneGO by Modules
