"","id","module_title","composite_name","module_size_4","module_category","annotation_level","web_link","symbol","top_matched_pathway_in_kegg_pid_and_biocarta","jaccard_index_10","enrichment_p_value_11","pathway_size","overlap_size_13","top_matched_chaussabel_module","jaccard_index_15","enrichment_p_value_16","module_size_17","overlap_size_18","top_matched_transcription_factor","jaccard_index_20","enrichment_p_value_21","gene_set_size","overlap_size_23","top_matched_gene_ontology_terms_number_of_matched_genes","btm","group","subgroup"
"1","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","CCL2","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"2","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","DCN","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"3","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","LIF","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"4","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","PLAU","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"5","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","IL6","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"6","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","MGP","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"7","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","COL1A2","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"8","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","MMP9","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"9","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","THBD","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
"10","M0","targets of FOSL1/2","targets of FOSL1/2 (M0)",12,"TF targets","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm","MMP2","[PID]Validated transcriptional targets of AP1 family members Fra1 and Fra2",0.33,4.16e-35,36,12,NA,NA,NA,NA,NA,"AML_Q6",0.01,0.000158,204,3,"extracellular space (11), extracellular region (11), protein binding (9)","M0","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION"
