"process","genes","set_size","immune_set","immune_system","immune_subsystem","cells"
"ACTIVATED T CELL PROLIFERATION","Abl1,Ephb6,Fyn,Gpam,Il2,Il2,Il2ra,Il4,Itgal,Itgam,Itgb2,Satb1,Stat5a,Stat5a,Stat5b,Stat5b,Itgad",17,"Mouse_ImmuneGO",NA,NA,NA
"ACTIVATION OF IMMUNE RESPONSE","Trex1,Nod2",2,"Mouse_ImmuneGO",NA,NA,NA
"ACTIVATION OF INNATE IMMUNE RESPONSE","Casp6,Xrcc6,Gbp2b,Gbp2,Hmgb1,Hsp90aa1,Ifi203,Ifi203,Ifi204,Ifi204,Matr3,Prkdc,Trim30a,Sin3a,Tlr4,Xrcc5,Tomm70a,Nono,Pqbp1,Gbp3,Tbk1,Tbk1,Zbp1,Zbp1,Pspc1,Pycard,Pycard,Zcchc3,Zcchc3,Zcchc3,Sfpq,Sting1,Sting1,Sting1,Sting1,Trim12a,Tlr9,Znfx1,Hexim1,Trim30d,Cgas,Cgas,Cgas,Cgas,Ifi207,Ifi207,Ifi205,Ifi205,Mavs,Gbp5,Gbp7,Ifi209,Ifi209,Trim30b,Nlrp10,Nlrc4,Trim12c,Ifi211,Ifi211,Aim2,Aim2,Aim2,Trim30c,Ifi214,Ifi214,Ifi213,Ifi213,Trim5,Ifi208,Ifi208,Mndal,Mndal,Ifi203-ps,Ifi206,Ifi206",75,"Mouse_ImmuneGO",NA,NA,NA
"ACTIVATION OF MEMBRANE ATTACK COMPLEX","Cfh",1,"Mouse_ImmuneGO",NA,NA,NA
"ACTIVATION-INDUCED CELL DEATH OF T CELLS","Akt1,Fas,Fas,Fas,Gpam,Il2ra,Rps6,Tgfb2,Siva1,Tnfrsf23,Dnaja3",11,"Mouse_ImmuneGO",NA,NA,NA
"ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Bdkrb2,Cd6,Cxcr2,Icam1,Serpinb9,Elane,Elane,Nlrp6,Il31ra",9,"Mouse_ImmuneGO","Innate","Inflammation","Undefined"
"ADAPTIVE IMMUNE MEMORY RESPONSE","Ighe",1,"Mouse_ImmuneGO",NA,NA,NA
"ADAPTIVE IMMUNE MEMORY RESPONSE INVOLVING T CELLS AND B CELLS","Ebag9",1,"Mouse_ImmuneGO",NA,NA,NA
"ADAPTIVE IMMUNE RESPONSE","Alcam,Arg1,Arg2,Bcl10,Bcl10,Prdm1,Bmx,Btk,Btk,C1qbp,Camk4,Ctla4,Cd19,Cd3d,Cd3e,Cd3g,Cd247,Cd4,Cd7,Cd79a,Cd81,Cd84,Cd86,Cd8a,Cd8b1,Csk,Cx3cr1,Dbnl,Adgre1,Eomes,Fga,Fyn,Pdia3,H2-Aa,H2-Ab1,H2-D1,H2-Eb1,H2-K1,H2-L,H2-M10.1,H2-M2,H2-M9,H2-DMa,H2-DMb1,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q7,H2-T10,H2-T22,H2-T23,H2-T3,Hmgb1,Ifna1,Ifna11,Ifna2,Ifna4,Ifna5,Ifna6,Ifna7,Ifna9,Ifnab,Ifnb1,Ifnb1,Ifng,Ifng,Cd79b,Ighm,Jchain,Cd74,Il17a,Il17ra,Il2,Itk,Itk,Jak2,Jak3,Kcnj8,Klrd1,Lag3,Lat,Anxa1,Ly9,Lyn,Clec4d,Mpeg1,Nedd4,Cd244a,Pdcd1,Pik3cd,Pirb,Prkcb,Ptk2b,Rag1,Rag1,Sema4a,Sh2d1a,Slfn1,Slfn2,Serpina3g,Syk,Syk,Tap1,Tap2,Tfeb,Trgv1,Tec,Tec,Tnfrsf11a,Tnfrsf17,Trex1,Txk,Txk,Zap70,Clec4a2,Sh2d1b1,Klrk1,Eif2ak4,Slamf1,Slamf6,Icosl,Cd160,Sit1,Unc93b1,Crtam,Clec4n,Lat2,Tnfrsf13b,Pdcd1lg2,Trem1,Cd274,Fcamr,Tsc1,Ctnnbl1,Rnf125,Mcoln2,Trpm4,Marchf8,Tnfrsf13c,Lime1,Rnf19b,Slamf7,Trat1,6030468B19Rik,Sla2,Skap1,Nfkbiz,Erap1,Jam3,Mcoln1,Tnfrsf21,Tnfrsf21,Pag1,Mfsd6,Fgg,Prkd2,Fbxo38,Otub1,Orai1,Fgb,H2-Q6,Iglv2,H2-M10.3,Ifna,Havcr2,Ripk2,Btla,Tfe3,Themis,H2-M10.4,H2-M11,H2-M1,H2-M10.5,Dclre1c,Otud7b,Ifna13,Ifna16,Ifne,Tnfrsf14,Fgl1,Lamp3,H2-M5,Lax1,Tnfsf18,Vtcn1,Ifna15,Ifna12,Igkv7-33,Siglecg,Nlrp10,Tarm1,Myo1g,Il17f,Nod2,Ifnz,Gpr183,Card9,H2-M10.2,Igkv2-112,Cracr2a,Igkv4-55,Ifnk,H2-M10.6,Ifna14,Prr7,Akirin2,Gm13271,Sh2d1b2,Gm13283,Gm13272,Gm13276,Gm13277,Gm13275,Igkv5-48,Ighv1-72,Igkv12-41,Ighv1-62-3,Ighv1-61,Igkv9-129,Zfp683",221,"Mouse_ImmuneGO","Adaptive","General","Lymphocyte"
"ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS","Tgfb1",1,"Mouse_ImmuneGO",NA,NA,NA
"ALPHA-BETA T CELL ACTIVATION","Ins1,Ins2,Dock2",3,"Mouse_ImmuneGO",NA,NA,NA
"ALPHA-BETA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","H2-M3",1,"Mouse_ImmuneGO",NA,NA,NA
"ALPHA-BETA T CELL DIFFERENTIATION","Abl1,Abl2,Ada,Blm,Gli3,Lef1,Anxa1,Pnp,Rorc,Rpl22,Shh,Tcf7,Zap70,Zap70,Bcl11b,Braf,Prr7",17,"Mouse_ImmuneGO",NA,NA,NA
"ALPHA-BETA T CELL LINEAGE COMMITMENT","Rhoa",1,"Mouse_ImmuneGO",NA,NA,NA
"ALPHA-BETA T CELL PROLIFERATION","Blm,Ptprc,Foxp3,Clec4g,Dock2",5,"Mouse_ImmuneGO",NA,NA,NA
"ANTIBACTERIAL HUMORAL RESPONSE","Adm,Ang,Ang,Ang,Ang3,Ang3,Ang2,Ang2,App,B2m,Camp,Ctsg,Defb1,Defa1,Defa29,Defa-rs10,Defa-rs12,Defa-rs2,Defa31,Defa10,Defa11,Defa13,Defa14,Defa15,Defa16,Defa25,Defa3,Defa4,Defa4,Defa5,Defa6,Defa7,Defa8,Defa9,Wfdc18,Fau,H2-D1,H2-K1,H2-L,H2-M10.1,H2-M2,H2-M9,H2-Q1,H2-Q10,H2-Q2,H2-Q4,H2-Q7,H2-T10,H2-T22,H2-T23,H2-T3,Ighg2b,Ighg1,Ighg1,Ighm,Ighm,Jchain,Ltf,Ltf,Pla2g1b,Bpifa1,Bpifa1,Bpifa1,Slpi,Slpi,Slpi,Sprr2a1,Tac1,Trf,Vip,Wap,Defa17,Pla2g6,Rnase4,Rnase4,Wfdc21,Defa21,Bpifa5,Bpifa5,Rpl39,Wfdc2,Defa20,Defa20,Wfdc15a,Inhca,Wfdc3,Spag11a,Spag11a,Rnase6,Rnase6,Rnase6,Npy,H2-Q6,H2-M10.3,Wfdc12,Wfdc15b,Wfdc5,Ang4,Ang4,Ang4,H2-M10.4,H2-M11,H2-M1,H2-M10.5,Igha,H2-M5,Wfdc16,H2bc12,H2bc21,Bpi,H2-M10.2,Defb37,Ighe,Ighg2a,Ighg,Ighg3,Defa39,Defa22,H2-M10.6,Ighg2c,Ighg2c,Wfdc13,Defa23,Defa24,Defa24,Ang5,Ang5,Defa28,Defa26,Wfdc9,Wfdc10,Wfdc11,Ang6,Ang6,Defa38,Defa42,Wfdc17,Defa30,Defa35,Defa41,Defa40,Defa27,Defa37,Defa34,Defa2,AY761185",146,"Mouse_ImmuneGO","General","Humoral","Undefined"
"ANTIBACTERIAL INNATE IMMUNE RESPONSE","Mpeg1,Nfkb1,Tfeb,Umod,Slc15a2,Marchf2,Nod2,Defb42,Defb42",9,"Mouse_ImmuneGO","Innate","Innate","Undefined"
"ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS","Lgals4,Lgals6,Mmp7",3,"Mouse_ImmuneGO",NA,NA,NA
"ANTIBACTERIAL PEPTIDE SECRETION","Mmp7",1,"Mouse_ImmuneGO",NA,NA,NA
"ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","Fcgr1,Fcgr1,Fcgr2b,Fcgr3,Fcgr3,Ighg1,Fcgr4,Ighe,Ighg2a",9,"Mouse_ImmuneGO",NA,NA,NA
"ANTIFUNGAL HUMORAL RESPONSE","Ang,Ang,Ang3,Ang2,App,Camp,Ltf,Tac1,Vip,Il36rn,Fam3a,Rarres2,Spag11a,Spag11a,Npy,Ang4,Ang5,Ang6",18,"Mouse_ImmuneGO","General","Humoral","Antimicrobial"
"ANTIFUNGAL INNATE IMMUNE RESPONSE","Bcl10,Cx3cr1,Cx3cr1,Clec4d,Clec4d,Clec4d,Clec4a2,Clec4e,Clec4e,Clec4n,Clec4n,Clec7a,Clec7a,Clec4b1,Rarres2,Clec4a3,Plcg2,Defb19,Defb19,Clec4a1,Card9,Card9,Card9,Clec4b2,Clec4a4,Defb42,Defb42",27,"Mouse_ImmuneGO","Innate","Antifungal","Undefined"
