process_mice,process_human,set_size_mice,set_size_human,match_human,match_perc,immune_system,immune_subsystem,cells,immune_set
ACTIVATED T CELL PROLIFERATION,"Proliferation, T cell, Activated",17,3,3,17.647058823529413,Adaptive,Cellular,T cell,ImmuneGO by Modules
ACTIVATION OF INNATE IMMUNE RESPONSE,"Immune system, Process",75,509,14,18.666666666666668,General,General,Undefined,ImmuneGO by Modules
ACTIVATION OF MEMBRANE ATTACK COMPLEX,"Immune system, Process",1,509,1,100,General,General,Undefined,ImmuneGO by Modules
ACTIVATION-INDUCED CELL DEATH OF T CELLS,"Cell death, Activation-induced, T cell",11,3,3,27.27272727272727,Adaptive,Cellular,T cell,ImmuneGO by Modules
ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,Acute inflammatory response to antigenic stimulus,9,5,5,55.55555555555556,Innate,Inflammation,Undefined,ImmuneGO by Modules
ADAPTIVE IMMUNE RESPONSE,Adaptive Immune response,221,330,50,22.624434389140273,Adaptive,General,Lymphocyte,ImmuneGO by Modules
ALPHA-BETA T CELL DIFFERENTIATION,"Differentiation, abT cell",17,6,6,35.294117647058826,Adaptive,Cellular,T cell,ImmuneGO by Modules
ALPHA-BETA T CELL LINEAGE COMMITMENT,"Selection, Beta",1,3,1,100,Adaptive,Cellular,T cell,ImmuneGO by Modules
ALPHA-BETA T CELL PROLIFERATION,"Proliferation, abT cell",5,2,2,40,Adaptive,Cellular,T cell,ImmuneGO by Modules
ANTIBACTERIAL HUMORAL RESPONSE,Antibacterial humoral response,146,28,19,13.013698630136986,General,Humoral,Undefined,ImmuneGO by Modules
ANTIBACTERIAL INNATE IMMUNE RESPONSE,"Immune system, Process",9,509,1,11.11111111111111,General,General,Undefined,ImmuneGO by Modules
ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS,"Biosynthetic process, Antibacterial peptide",3,1,1,33.33333333333333,Innate,Innate,Undefined,ImmuneGO by Modules
ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY,Immune response,9,262,1,11.11111111111111,General,General,Undefined,ImmuneGO by Modules
ANTIFUNGAL HUMORAL RESPONSE,Antimicrobial peptide-mediated immune response,18,55,4,22.22222222222222,General,Humoral,Antimicrobial,ImmuneGO by Modules
