process,group
APOPTOSIS,Apoptosis and Hormonal Response
ESTROGEN_RESPONSE_LATE,Apoptosis and Hormonal Response
ESTROGEN_RESPONSE_EARLY,Apoptosis and Hormonal Response
ANDROGEN_RESPONSE,Apoptosis and Hormonal Response
EPITHELIAL_MESENCHYMAL_TRANSITION,Differentiation and Cell Structure
APICAL_JUNCTION,Differentiation and Cell Structure
ANGIOGENESIS,Differentiation and Cell Structure
G2M_CHECKPOINT,Differentiation and Cell Structure
UV_RESPONSE_DN,Differentiation and Cell Structure
ADIPOGENESIS,Differentiation and Cell Structure
MYOGENESIS,Differentiation and Cell Structure
SPERMATOGENESIS,Differentiation and Cell Structure
APICAL_SURFACE,Differentiation and Cell Structure
PROTEIN_SECRETION,Differentiation and Cell Structure
PANCREAS_BETA_CELLS,Differentiation and Cell Structure
TNFA_SIGNALING_VIA_NFKB,Immune Response
IL6_JAK_STAT3_SIGNALING,Immune Response
INFLAMMATORY_RESPONSE,Immune Response
INTERFERON_GAMMA_RESPONSE,Immune Response
INTERFERON_ALPHA_RESPONSE,Immune Response
COMPLEMENT,Immune Response
ALLOGRAFT_REJECTION,Immune Response
IL2_STAT5_SIGNALING,Immune Response
OXIDATIVE_PHOSPHORYLATION,Metabolism
FATTY_ACID_METABOLISM,Metabolism
BILE_ACID_METABOLISM,Metabolism
CHOLESTEROL_HOMEOSTASIS,Metabolism
PEROXISOME,Metabolism
GLYCOLYSIS,Metabolism
XENOBIOTIC_METABOLISM,Metabolism
HEME_METABOLISM,Metabolism
MYC_TARGETS_V1,Proliferation and Repair
E2F_TARGETS,Proliferation and Repair
DNA_REPAIR,Proliferation and Repair
P53_PATHWAY,Proliferation and Repair
MYC_TARGETS_V2,Proliferation and Repair
COAGULATION,Proliferation and Repair
MITOTIC_SPINDLE,Proliferation and Repair
HYPOXIA,Signaling and Stress Response
KRAS_SIGNALING_UP,Signaling and Stress Response
REACTIVE_OXYGEN_SPECIES_PATHWAY,Signaling and Stress Response
UV_RESPONSE_UP,Signaling and Stress Response
UNFOLDED_PROTEIN_RESPONSE,Signaling and Stress Response
KRAS_SIGNALING_DN,Signaling and Stress Response
MTORC1_SIGNALING,Signaling and Stress Response
TGF_BETA_SIGNALING,Signaling and Stress Response
PI3K_AKT_MTOR_SIGNALING,Signaling and Stress Response
HEDGEHOG_SIGNALING,Signaling and Stress Response
WNT_BETA_CATENIN_SIGNALING,Signaling and Stress Response
NOTCH_SIGNALING,Signaling and Stress Response
