geo_sample,sample_id,treatment,tissue,timepoint,animal_replicate,spf_dirty,strain,subject_id
GSM5538623,1_SPF_0_Naive_S1 ,Quadri,PBMC,0,SPF,SPF,C57BL/6,1_SPF
GSM5538624,1_SPF_24_V_S27 ,Quadri,PBMC,24,SPF,SPF,C57BL/6,1_SPF
GSM5538625,1_SPF_72_V_S53 ,Quadri,PBMC,72,SPF,SPF,C57BL/6,1_SPF
GSM5538626,2_SPF_0_Naive_S2 ,Quadri,PBMC,0,SPF,SPF,C57BL/6,2_SPF
GSM5538627,2_SPF_24_V_S28 ,Quadri,PBMC,24,SPF,SPF,C57BL/6,2_SPF
GSM5538628,2_SPF_72_V_S54 ,Quadri,PBMC,72,SPF,SPF,C57BL/6,2_SPF
GSM5538629,3_SPF_0_Naive_S3 ,Quadri,PBMC,0,SPF,SPF,C57BL/6,3_SPF
GSM5538630,3_SPF_24_V_S29 ,Quadri,PBMC,24,SPF,SPF,C57BL/6,3_SPF
GSM5538631,3_SPF_72_V_S55 ,Quadri,PBMC,72,SPF,SPF,C57BL/6,3_SPF
GSM5538632,4_SPF_0_Naive_S4 ,Quadri,PBMC,0,SPF,SPF,C57BL/6,4_SPF
GSM5538633,4_SPF_24_V_S30 ,Quadri,PBMC,24,SPF,SPF,C57BL/6,4_SPF
GSM5538634,4_SPF_72_V_S56 ,Quadri,PBMC,72,SPF,SPF,C57BL/6,4_SPF
GSM5538635,5_SPF_0_Naive_S5 ,Quadri,PBMC,0,SPF,SPF,C57BL/6,5_SPF
GSM5538636,5_SPF_24_V_S31 ,Quadri,PBMC,24,SPF,SPF,C57BL/6,5_SPF
GSM5538637,5_SPF_72_V_S57 ,Quadri,PBMC,72,SPF,SPF,C57BL/6,5_SPF
GSM5538638,6_SPF_0_Naive_S6 ,Quadri + Adjuvant,PBMC,0,SPF,SPF,C57BL/6,6_SPF
GSM5538639,6_SPF_24_V_A_S32 ,Quadri + Adjuvant,PBMC,24,SPF,SPF,C57BL/6,6_SPF
GSM5538640,6_SPF_72_V_A_S58 ,Quadri + Adjuvant,PBMC,72,SPF,SPF,C57BL/6,6_SPF
GSM5538641,7_SPF_0_Naive_S7 ,Quadri + Adjuvant,PBMC,0,SPF,SPF,C57BL/6,7_SPF
GSM5538642,7_SPF_24_V_A_S33 ,Quadri + Adjuvant,PBMC,24,SPF,SPF,C57BL/6,7_SPF
GSM5538643,7_SPF_72_V_A_S59 ,Quadri + Adjuvant,PBMC,72,SPF,SPF,C57BL/6,7_SPF
GSM5538644,8_SPF_0_Naive_S8 ,Quadri + Adjuvant,PBMC,0,SPF,SPF,C57BL/6,8_SPF
GSM5538645,8_SPF_24_V_A_S34 ,Quadri + Adjuvant,PBMC,24,SPF,SPF,C57BL/6,8_SPF
GSM5538646,8_SPF_72_V_A_S60 ,Quadri + Adjuvant,PBMC,72,SPF,SPF,C57BL/6,8_SPF
GSM5538647,9_SPF_0_Naive_S9 ,Quadri + Adjuvant,PBMC,0,SPF,SPF,C57BL/6,9_SPF
GSM5538648,9_SPF_24_V_A_S35 ,Quadri + Adjuvant,PBMC,24,SPF,SPF,C57BL/6,9_SPF
GSM5538649,9_SPF_72_V_A_S61 ,Quadri + Adjuvant,PBMC,72,SPF,SPF,C57BL/6,9_SPF
GSM5538650,10_SPF_0_Naive_S10 ,Quadri + Adjuvant,PBMC,0,SPF,SPF,C57BL/6,10_SPF
GSM5538651,10_SPF_24_V_A_S36 ,Quadri + Adjuvant,PBMC,24,SPF,SPF,C57BL/6,10_SPF
GSM5538652,10_SPF_72_V_A_S62 ,Quadri + Adjuvant,PBMC,72,SPF,SPF,C57BL/6,10_SPF
GSM5538653,11_SPF_0_Naive_S11 ,"X31 vaccinated, PR8 challenged",PBMC,0,SPF,SPF,C57BL/6,11_SPF
GSM5538654,11_SPF_24_Naive_S37 ,"X31 vaccinated, PR8 challenged",PBMC,24,SPF,SPF,C57BL/6,11_SPF
GSM5538655,11_SPF_72_Naive_S63 ,"X31 vaccinated, PR8 challenged",PBMC,72,SPF,SPF,C57BL/6,11_SPF
GSM5538656,12_SPF_0_Naive_S12 ,"X31 vaccinated, PR8 challenged",PBMC,0,SPF,SPF,C57BL/6,12_SPF
GSM5538657,12_SPF_24_Naive_S38 ,"X31 vaccinated, PR8 challenged",PBMC,24,SPF,SPF,C57BL/6,12_SPF
GSM5538658,12_SPF_72_Naive_S64 ,"X31 vaccinated, PR8 challenged",PBMC,72,SPF,SPF,C57BL/6,12_SPF
GSM5538659,13_SPF_0_Naive_S13 ,Naïve,PBMC,0,SPF,SPF,C57BL/6,13_SPF
GSM5538660,13_SPF_24_Naive_S39 ,Naïve,PBMC,24,SPF,SPF,C57BL/6,13_SPF
GSM5538661,13_SPF_72_Naive_S65 ,Naïve,PBMC,72,SPF,SPF,C57BL/6,13_SPF
GSM5538662,14_CoH_0_Naive_S14 ,Quadri,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,14_CoH
GSM5538663,14_CoH_24_V_S40 ,Quadri,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,14_CoH
GSM5538664,14_CoH_72_V_S66 ,Quadri,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,14_CoH
GSM5538665,15_CoH_0_Naive_S15 ,Quadri,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,15_CoH
GSM5538666,15_CoH_24_V_S41 ,Quadri,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,15_CoH
GSM5538667,15_CoH_72_V_S67 ,Quadri,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,15_CoH
GSM5538668,16_CoH_0_Naive_S16 ,Quadri,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,16_CoH
GSM5538669,16_CoH_24_V_S42 ,Quadri,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,16_CoH
GSM5538670,16_CoH_72_V_S68 ,Quadri,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,16_CoH
GSM5538671,17_CoH_0_Naive_S17 ,Quadri,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,17_CoH
GSM5538672,17_CoH_24_V_S43 ,Quadri,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,17_CoH
GSM5538673,17_CoH_72_V_S69 ,Quadri,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,17_CoH
GSM5538674,18_CoH_0_Naive_S18 ,Quadri,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,18_CoH
GSM5538675,18_CoH_24_V_S44 ,Quadri,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,18_CoH
GSM5538676,18_SPF_72_V_S70 ,Quadri,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,18_SPF
GSM5538677,19_CoH_0_Naive_S19 ,Quadri + Adjuvant,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,19_CoH
GSM5538678,19_CoH_24_V_A_S45 ,Quadri + Adjuvant,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,19_CoH
GSM5538679,19_CoH_72_V_A_S71 ,Quadri + Adjuvant,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,19_CoH
GSM5538680,20_CoH_0_Naive_S20 ,Quadri + Adjuvant,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,20_CoH
GSM5538681,20_CoH_24_V_A_S46 ,Quadri + Adjuvant,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,20_CoH
GSM5538682,20_CoH_72_V_A_S72 ,Quadri + Adjuvant,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,20_CoH
GSM5538683,21_CoH_0_Naive_S21 ,Quadri + Adjuvant,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,21_CoH
GSM5538684,21_CoH_24_V_A_S47 ,Quadri + Adjuvant,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,21_CoH
GSM5538685,21_CoH_72_V_A_S73 ,Quadri + Adjuvant,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,21_CoH
GSM5538686,22_CoH_0_Naive_S22 ,Quadri + Adjuvant,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,22_CoH
GSM5538687,22_CoH_24_V_A_S48 ,Quadri + Adjuvant,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,22_CoH
GSM5538688,22_CoH_72_V_A_S74 ,Quadri + Adjuvant,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,22_CoH
GSM5538689,23_CoH_0_Naive_S23 ,Quadri + Adjuvant,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,23_CoH
GSM5538690,23_CoH_24_V_A_S49 ,Quadri + Adjuvant,PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,23_CoH
GSM5538691,23_CoH_72_V_A_S75 ,Quadri + Adjuvant,PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,23_CoH
GSM5538692,24_CoH_0_Naive_S24 ,"X31 vaccinated, PR8 challenged",PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,24_CoH
GSM5538693,24_CoH_24_Naive_S50 ,"X31 vaccinated, PR8 challenged",PBMC,24,"Dirty, cohoused","Dirty, cohoused",C57BL/6,24_CoH
GSM5538694,24_CoH_72_Naive_S76 ,"X31 vaccinated, PR8 challenged",PBMC,72,"Dirty, cohoused","Dirty, cohoused",C57BL/6,24_CoH
GSM5538695,25_CoH_0_Naive_S25 ,Naïve,PBMC,0,"Dirty, cohoused","Dirty, cohoused",C57BL/6,25_CoH
