geo_sample,subject_id,treatment,timepoint,strain,condition
GSM491049,blood A/J 0hours rep5,none,0,A/J,none_A/J_0
GSM491050,blood A/J 2hours rep5,Staphylococcus aureus,2 hours,A/J,Staphylococcus aureus_A/J_2 hours
GSM491051,blood A/J 4hours rep5,Staphylococcus aureus,4 hours,A/J,Staphylococcus aureus_A/J_4 hours
GSM491052,blood A/J 6hours rep5,Staphylococcus aureus,6 hours,A/J,Staphylococcus aureus_A/J_6 hours
GSM491053,blood A/J 12hours rep5,Staphylococcus aureus,12 hours,A/J,Staphylococcus aureus_A/J_12 hours
GSM491054,blood C57BL/6J 0hours rep5,none,0,C57BL/6J,none_C57BL/6J_0
GSM491055,blood C57BL/6J 2hours rep5,Staphylococcus aureus,2 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_2 hours
GSM491056,blood C57BL/6J 4hours rep5,Staphylococcus aureus,4 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_4 hours
GSM491057,blood C57BL/6J 6hours rep5,Staphylococcus aureus,6 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_6 hours
GSM491058,blood C57BL/6J 12hours rep5,Staphylococcus aureus,12 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_12 hours
GSM491059,blood A/J 0hours rep1,none,0,A/J,none_A/J_0
GSM491060,blood A/J 2hours rep1,Staphylococcus aureus,2 hours,A/J,Staphylococcus aureus_A/J_2 hours
GSM491061,blood A/J 4hours rep1,Staphylococcus aureus,4 hours,A/J,Staphylococcus aureus_A/J_4 hours
GSM491062,blood A/J 6hours rep1,Staphylococcus aureus,6 hours,A/J,Staphylococcus aureus_A/J_6 hours
GSM491063,blood A/J 12hours rep1,Staphylococcus aureus,12 hours,A/J,Staphylococcus aureus_A/J_12 hours
GSM491064,blood C57BL/6J 0hours rep1,none,0,C57BL/6J,none_C57BL/6J_0
GSM491065,blood C57BL/6J 2hours rep1,Staphylococcus aureus,2 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_2 hours
GSM491066,blood C57BL/6J 4hours rep1,Staphylococcus aureus,4 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_4 hours
GSM491067,blood C57BL/6J 6hours rep1,Staphylococcus aureus,6 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_6 hours
GSM491068,blood C57BL/6J 12hours rep1,Staphylococcus aureus,12 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_12 hours
GSM491069,blood A/J 0hours rep2,none,0,A/J,none_A/J_0
GSM491070,blood A/J 2hours rep2,Staphylococcus aureus,2 hours,A/J,Staphylococcus aureus_A/J_2 hours
GSM491071,blood A/J 4hours rep2,Staphylococcus aureus,4 hours,A/J,Staphylococcus aureus_A/J_4 hours
GSM491072,blood A/J 6hours rep2,Staphylococcus aureus,6 hours,A/J,Staphylococcus aureus_A/J_6 hours
GSM491073,blood A/J 12hours rep2,Staphylococcus aureus,12 hours,A/J,Staphylococcus aureus_A/J_12 hours
GSM491074,blood C57BL/6J 0hours rep2,none,0,C57BL/6J,none_C57BL/6J_0
GSM491075,blood C57BL/6J 2hours rep2,Staphylococcus aureus,2 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_2 hours
GSM491076,blood C57BL/6J 4hours rep2,Staphylococcus aureus,4 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_4 hours
GSM491077,blood C57BL/6J 6hours rep2,Staphylococcus aureus,6 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_6 hours
GSM491078,blood C57BL/6J 12hours rep2,Staphylococcus aureus,12 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_12 hours
GSM491079,blood A/J 0hours rep3,none,0,A/J,none_A/J_0
GSM491080,blood A/J 0hours rep4,none,0,A/J,none_A/J_0
GSM491081,blood A/J 2hours rep3,Staphylococcus aureus,2 hours,A/J,Staphylococcus aureus_A/J_2 hours
GSM491082,blood A/J 2hours rep4,Staphylococcus aureus,2 hours,A/J,Staphylococcus aureus_A/J_2 hours
GSM491083,blood A/J 4hours rep3,Staphylococcus aureus,4 hours,A/J,Staphylococcus aureus_A/J_4 hours
GSM491084,blood A/J 4hours rep4,Staphylococcus aureus,4 hours,A/J,Staphylococcus aureus_A/J_4 hours
GSM491085,blood A/J 6hours rep3,Staphylococcus aureus,6 hours,A/J,Staphylococcus aureus_A/J_6 hours
GSM491086,blood A/J 6hours rep4,Staphylococcus aureus,6 hours,A/J,Staphylococcus aureus_A/J_6 hours
GSM491087,blood A/J 12hours rep3,Staphylococcus aureus,12 hours,A/J,Staphylococcus aureus_A/J_12 hours
GSM491088,blood A/J 12hours rep4,Staphylococcus aureus,12 hours,A/J,Staphylococcus aureus_A/J_12 hours
GSM491089,blood C57BL/6J 0hours rep3,none,0,C57BL/6J,none_C57BL/6J_0
GSM491090,blood C57BL/6J 0hours rep4,none,0,C57BL/6J,none_C57BL/6J_0
GSM491091,blood C57BL/6J 2hours rep3,Staphylococcus aureus,2 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_2 hours
GSM491092,blood C57BL/6J 2hours rep4,Staphylococcus aureus,2 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_2 hours
GSM491093,blood C57BL/6J 4hours rep3,Staphylococcus aureus,4 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_4 hours
GSM491094,blood C57BL/6J 4hours rep4,Staphylococcus aureus,4 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_4 hours
GSM491095,blood C57BL/6J 6hours rep3,Staphylococcus aureus,6 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_6 hours
GSM491096,blood C57BL/6J 6hours rep4,Staphylococcus aureus,6 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_6 hours
GSM491097,blood C57BL/6J 12hours rep3,Staphylococcus aureus,12 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_12 hours
GSM491098,blood C57BL/6J 12hours rep4,Staphylococcus aureus,12 hours,C57BL/6J,Staphylococcus aureus_C57BL/6J_12 hours
