geo_sample,subject_id,sex,treatment,tissue,timepoint,animal_replicate,strain,condition
GSM3407136,ENG_BL_0h_1,Female,Engerix B,PBMC,0,1,CB6F1,Engerix B_0_PBMC
GSM3407137,ENG_BL_0h_2,Female,Engerix B,PBMC,0,2,CB6F1,Engerix B_0_PBMC
GSM3407138,ENG_BL_0h_3,Female,Engerix B,PBMC,0,3,CB6F1,Engerix B_0_PBMC
GSM3407139,ENG_BL_0h_4,Female,Engerix B,PBMC,0,4,CB6F1,Engerix B_0_PBMC
GSM3407140,ENG_BL_0h_5,Female,Engerix B,PBMC,0,5,CB6F1,Engerix B_0_PBMC
GSM3407141,IFA_BL_0h_1,Female,IFA,PBMC,0,1,CB6F1,IFA_0_PBMC
GSM3407142,IFA_BL_0h_2,Female,IFA,PBMC,0,2,CB6F1,IFA_0_PBMC
GSM3407143,IFA_BL_0h_3,Female,IFA,PBMC,0,3,CB6F1,IFA_0_PBMC
GSM3407144,IFA_BL_0h_4,Female,IFA,PBMC,0,4,CB6F1,IFA_0_PBMC
GSM3407145,IFA_BL_0h_5,Female,IFA,PBMC,0,5,CB6F1,IFA_0_PBMC
GSM3407146,LPS_BL_0h_1,Female,LPS,PBMC,0,1,CB6F1,LPS_0_PBMC
GSM3407147,LPS_BL_0h_2,Female,LPS,PBMC,0,2,CB6F1,LPS_0_PBMC
GSM3407148,LPS_BL_0h_3,Female,LPS,PBMC,0,3,CB6F1,LPS_0_PBMC
GSM3407149,LPS_BL_0h_4,Female,LPS,PBMC,0,4,CB6F1,LPS_0_PBMC
GSM3407150,LPS_BL_0h_5,Female,LPS,PBMC,0,5,CB6F1,LPS_0_PBMC
GSM3407151,PERT_BL_0h_1,Female,Pentavac SD,PBMC,0,1,CB6F1,Pentavac SD_0_PBMC
GSM3407152,PERT_BL_0h_2,Female,Pentavac SD,PBMC,0,2,CB6F1,Pentavac SD_0_PBMC
GSM3407153,PERT_BL_0h_3,Female,Pentavac SD,PBMC,0,3,CB6F1,Pentavac SD_0_PBMC
