geo_sample,participant_id,timepoint,sex,strain,tissue,organism,treatment,platform_id
GSM178608,rep 1,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178609,rep 2,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178610,rep 3,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178611,rep 4,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178612,rep 1,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178613,rep 2,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178614,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178615,rep 4,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178616,rep 1,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178617,rep 2,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178618,rep 3,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178619,rep 4,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178620,rep 1,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178621,rep 2,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178622,rep 3,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178623,rep 4,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn,GPL1261
GSM178624,rep 1,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178625,rep 2,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178626,rep 3,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178627,rep 4,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178628,rep 1,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178629,rep 2,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178630,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178631,rep 4,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178632,rep 1,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178633,rep 2,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178634,rep 3,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178635,rep 4,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178636,rep 1,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178637,rep 2,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178638,rep 3,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178639,rep 4,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Burn_Control,GPL1261
GSM178640,rep 1,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178641,rep 2,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178642,rep 3,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178643,rep 4,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178644,rep 1,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178645,rep 2,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178646,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178647,rep 4,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178648,rep 1,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178649,rep 2,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178650,rep 3,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178651,rep 4,3 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178652,rep 1,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178653,rep 2,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178654,rep 3,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178655,rep 4,7 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma,GPL1261
GSM178656,rep 1,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178657,rep 2,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178658,rep 3,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178659,rep 4,2 Hour,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178660,rep 1,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178661,rep 2,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
GSM178662,rep 3,1 Day,male,C57BL/6J,leukocytes,Mus musculus,Trauma_Control,GPL1261
