geo_sample,subject_id,tissue,platform_id,timepoint,replicate,treatment,condition
GSM15860,Leg 7 Day Control rep 1,Muscle,GPL81,7,1,Control,Control_7
GSM15861,Leg 7 Day Control rep 2,Muscle,GPL81,7,2,Control,Control_7
GSM15862,Leg 7 Day Control rep 3,Muscle,GPL81,7,3,Control,Control_7
GSM15863,Leg 7 Day mdx rep 1,Muscle,GPL81,7,1,DMD,DMD_7
GSM15864,Leg 7 Day mdx rep 2,Muscle,GPL81,7,2,DMD,DMD_7
GSM15865,Leg 7 Day mdx rep 3,Muscle,GPL81,7,3,DMD,DMD_7
GSM15933,Leg 14 Day Control rep 1,Muscle,GPL81,14,1,Control,Control_14
GSM15934,Leg 14 Day Control rep 2,Muscle,GPL81,14,2,Control,Control_14
GSM15935,Leg 14 Day Control rep 3,Muscle,GPL81,14,3,Control,Control_14
GSM15936,Leg 14 Day mdx rep 1,Muscle,GPL81,14,1,DMD,DMD_14
GSM15937,Leg 14 day mdx rep 2,Muscle,GPL81,14,2,DMD,DMD_14
GSM15938,Leg 14 Day mdx rep 3,Muscle,GPL81,14,3,DMD,DMD_14
GSM15939,Leg 23 Day Control rep 1,Muscle,GPL81,23,1,Control,Control_23
GSM16449,Leg 23 Day control rep 2,Muscle,GPL81,23,2,Control,Control_23
GSM16450,Leg 23 Day control rep 3,Muscle,GPL81,23,3,Control,Control_23
GSM16451,Leg 23 Day mdx rep 1,Muscle,GPL81,23,1,DMD,DMD_23
GSM16452,Leg 23 Day mdx rep 2,Muscle,GPL81,23,2,DMD,DMD_23
GSM16453,Leg 23 Day mdx rep 3,Muscle,GPL81,23,3,DMD,DMD_23
GSM16454,Leg 28 Day control rep 1,Muscle,GPL81,28,1,Control,Control_28
GSM16455,Leg 28 Day control rep 2,Muscle,GPL81,28,2,Control,Control_28
GSM16456,Leg 28 Day control rep 3,Muscle,GPL81,28,3,Control,Control_28
GSM16457,Leg 28 Day mdx rep 1,Muscle,GPL81,28,1,DMD,DMD_28
GSM16458,Leg 28 Day mdx rep 2,Muscle,GPL81,28,2,DMD,DMD_28
GSM16459,Leg 28 Day mdx rep 3,Muscle,GPL81,28,3,DMD,DMD_28
GSM16460,Leg 56 Day control rep 1,Muscle,GPL81,56,1,Control,Control_56
GSM16461,Leg 56 Day control rep 2,Muscle,GPL81,56,2,Control,Control_56
GSM16462,Leg 56 Day control rep 3,Muscle,GPL81,56,3,Control,Control_56
GSM16463,Leg 56 Day mdx rep 1,Muscle,GPL81,56,1,DMD,DMD_56
GSM16464,Leg 56 Day mdx rep 2,Muscle,GPL81,56,2,DMD,DMD_56
GSM16465,Leg 56 Day mdx rep 3,Muscle,GPL81,56,3,DMD,DMD_56
GSM16466,Leg 112 Day control rep 1,Muscle,GPL81,112,1,Control,Control_112
GSM16467,Leg 112 Day control rep 2,Muscle,GPL81,112,2,Control,Control_112
GSM16468,Leg 112 Day control rep 3,Muscle,GPL81,112,3,Control,Control_112
GSM16469,Leg 112 Day mdx rep 1,Muscle,GPL81,112,1,DMD,DMD_112
GSM16470,Leg 112 Day mdx rep 2,Muscle,GPL81,112,2,DMD,DMD_112
GSM16471,Leg 112 day mdx rep 3,Muscle,GPL81,112,3,DMD,DMD_112
