Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL34537,"NanoString nCounter Human Host Response","in situ oligonucleotide","Homo sapiens",785,48,1,"Alberto Gómez-Carballa","Sep 10, 2025"
GPL36192,"nCounter® Human AutoImmune Profiling Panel","other","Homo sapiens",784,10,1,"Frédéric Ebstein","Sep 07, 2025"
GPL34998,"NanoString nCounter Human Gene Expression [eMED_Dem_C4387]","other","Homo sapiens",159,330,1,"Robin Kosch","Sep 05, 2025"
GPL33081,"NanoString nCounter Neuroinflammation Panel [NS_HS_Neuroinflam_V1.0]","other","Homo sapiens",785,12,2,"Supriyo De","Sep 04, 2025"
GPL36027,"[Clariom_S_Human_HT] Affymetrix Human Clariom S Assay HT (gene level)","in situ oligonucleotide","Homo sapiens",20462,72,1,"Tim Smith","Sep 03, 2025"
GPL36162,"Qiagen RT² Profiler PCR Array Human Innate and Adaptive Immune Responses (Cat. 330231)","RT-PCR","Homo sapiens",83,12,1,"Shirley H Mei","Aug 31, 2025"
GPL36168,"Illumina NovaSeq X Plus (Candida albicans; Homo sapiens)","high-throughput sequencing","Candida albicans;Homo sapiens",0,0,0,"GEO","Aug 25, 2025"
GPL36169,"Illumina NovaSeq X Plus (Homo sapiens; Streptococcus agalactiae)","high-throughput sequencing","Homo sapiens;Streptococcus agalactiae",0,0,0,"GEO","Aug 25, 2025"
GPL36170,"Illumina NovaSeq X Plus (Candida albicans; Homo sapiens; Streptococcus agalactiae)","high-throughput sequencing","Candida albicans;Homo sapiens;Streptococcus agalactiae",0,0,0,"GEO","Aug 25, 2025"
GPL36176,"Illumina NovaSeq X Plus (Akkermansia muciniphila; Homo sapiens; Streptococcus agalactiae)","high-throughput sequencing","Akkermansia muciniphila;Homo sapiens;Streptococcus agalactiae",0,0,0,"GEO","Aug 25, 2025"
GPL34535,"nCounter® Human Organ Transplant Panel","other","Homo sapiens",767,9,1,"Jean Kwun","Aug 21, 2025"
GPL36117,"Illumina HiSeq 4000 (Homo sapiens; Orthopoxvirus monkeypox)","high-throughput sequencing","Homo sapiens;Orthopoxvirus monkeypox",0,0,0,"GEO","Aug 12, 2025"
GPL36080,"Human TKS4 isoform, TKS5 isoform, WIP, WASL, CR16, TTP custom gene expression assay (w/ Taq-Man probe)","RT-PCR","Homo sapiens",33,4,1,"Serhii Kropyvko","Aug 11, 2025"
GPL32569,"Human GMAP-UTS520601 array","in situ oligonucleotide","Homo sapiens",88488,0,0,"Franco J Vizeacoumar","Aug 04, 2025"
GPL36096,"Illumina HiSeq 2500 (Homo sapiens; Human adenovirus sp.)","high-throughput sequencing","Homo sapiens;Human adenovirus sp.",0,0,0,"GEO","Aug 04, 2025"
GPL35854,"RT² Profiler™ PCR Array Human Glucose Metabolism","RT-PCR","Homo sapiens",89,4,1,"Rithvik Turaga","Jul 30, 2025"
GPL35911,"Reverse Phase Protein Array (RPPA)- George Mason University (array4)","spotted peptide or protein","Homo sapiens",163,221,1,"Denise M Wolf","Jul 30, 2025"
GPL36059,"NextSeq 2000 (Homo sapiens; Human gammaherpesvirus 8)","high-throughput sequencing","Homo sapiens;Human gammaherpesvirus 8",0,0,0,"GEO","Jul 23, 2025"
GPL36010,"Illumina NovaSeq X Plus (Homo sapiens; Malassezia furfur)","high-throughput sequencing","Homo sapiens;Malassezia furfur",0,0,0,"GEO","Jul 09, 2025"
GPL36004,"NanoString nCounter Human miRNA v3 Panel","other","Homo sapiens",828,72,1,"Stéphanie Calfa","Jul 08, 2025"
GPL34905,"[Clariom_D_Human] Affymetrix Human Clariom D Assay [CDF: ClariomD.GENCODEG.RJ.v2]","in situ oligonucleotide","Homo sapiens",57437,150,1,"Robin Jugas","Jul 07, 2025"
GPL34757,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [HGU133Plus2_Hs_ENTREZG, v25]","in situ oligonucleotide","Homo sapiens",20422,16,1,"Thomas Georg Philipp Grunewald","Jul 02, 2025"
GPL35182,"Proximity Barcoding Assay (PBA) for single exosome surface protein profiling","other","Homo sapiens",262,72,1,"Xueqi Li","Jul 02, 2025"
GPL35989,"Illumina NextSeq 500 (Homo sapiens; Influenza A virus)","high-throughput sequencing","Homo sapiens;Influenza A virus",0,0,0,"GEO","Jul 01, 2025"
GPL35984,"[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [CDF: hta20_Hs_ENTREZG_25.0.0]","in situ oligonucleotide","Homo sapiens",32271,0,0,"GEO admin","Jun 30, 2025"
GPL35956,"NextSeq 550 (Homo sapiens; Rattus norvegicus)","high-throughput sequencing","Homo sapiens;Rattus norvegicus",0,0,0,"GEO","Jun 18, 2025"
GPL33512,"Human fibrosis custom Nanostring Probeset - 817 genes","other","Homo sapiens",174,30,1,"Jillian M Richmond","Jun 16, 2025"
GPL35924,"Nanostring Human nCounter PanCancer Immune Panel [NS_Immunology_v2_C2328]","other","Homo sapiens",511,45,1,"Mora Guardamagna","Jun 06, 2025"
GPL35920,"Illumina NextSeq 500 (Acinetobacter baumannii; Homo sapiens)","high-throughput sequencing","Acinetobacter baumannii;Homo sapiens",0,8,1,"GEO","Jun 04, 2025"
GPL35910,"Illumina HiSeq 4000 (Dependoparvovirus; Homo sapiens)","high-throughput sequencing","Dependoparvovirus;Homo sapiens",0,0,0,"GEO","Jun 03, 2025"
GPL35914,"Quantibody® Human Cytokine Antibody Array 1200","other","Homo sapiens",1200,10,1,"Pak kin Wong","Jun 03, 2025"
GPL34304,"Nanostring nCounter Custom Human Neuroinflammation Panel","other","Homo sapiens",814,120,1,"Shawn Kwatra MD","Jun 02, 2025"
GPL33442,"MGH-Nanostring CAR-T Characterization","in situ oligonucleotide","Homo sapiens",823,12,1,"Michael C Kann","May 30, 2025"
GPL35894,"Illumina NovaSeq 6000 (Homo sapiens; Ovis aries)","high-throughput sequencing","Homo sapiens;Ovis aries",0,1,1,"GEO","May 27, 2025"
GPL34276,"NanoString nCounter NanoCMSer CodeSet1 [Medema_1_C6881, n6_vDV1]","other","Homo sapiens",157,257,4,"Arezo Torang","May 22, 2025"
GPL35870,"Illumina Infinium ImmunoArray 24v2-0","oligonucleotide beads","Homo sapiens",0,41,1,"Abhimanyu Amarnani","May 20, 2025"
GPL35865,"NextSeq 2000 (Homo sapiens/Mus musculus xenograft)","high-throughput sequencing","Homo sapiens/Mus musculus xenograft",0,8,1,"GEO","May 16, 2025"
GPL35868,"DNBSEQ-G400 (Homo sapiens; Human alphaherpesvirus 1)","high-throughput sequencing","Homo sapiens;Human alphaherpesvirus 1",0,8,1,"GEO","May 16, 2025"
GPL34463,"Luminex xMAP Multi-Analyte Profiling ProcartaPlex 65 plex","other","Homo sapiens",65,0,0,"Lisa Coussens","May 09, 2025"
GPL35019,"Agilent-057570 SurePrint G3 Human GE 8x60K Microarray (Feature Number version)","in situ oligonucleotide","Homo sapiens",62482,8,1,"Jamie Soul","May 07, 2025"
GPL34183,"Human GMAP-UTS520601 array v2","in situ oligonucleotide","Homo sapiens",84733,10,2,"Franco J Vizeacoumar","Apr 29, 2025"
GPL34763,"BLYM-777 nanoString custom Probeset","other","Homo sapiens",797,93,1,"Ruben de Groen","Apr 22, 2025"
GPL35732,"Illumina NovaSeq X Plus (Homo sapiens; Human alphaherpesvirus 1)","high-throughput sequencing","Homo sapiens;Human alphaherpesvirus 1",0,21,3,"GEO","Apr 02, 2025"
GPL35691,"Illumina NovaSeq 6000 (Homo sapiens; Macaca mulatta; Pan troglodytes; Pongo abelii)","high-throughput sequencing","Homo sapiens;Macaca mulatta;Pan troglodytes;Pongo abelii",0,0,0,"GEO","Mar 20, 2025"
GPL35694,"Illumina NovaSeq X Plus (Homo sapiens; Pan troglodytes)","high-throughput sequencing","Homo sapiens;Pan troglodytes",0,69,1,"GEO","Mar 20, 2025"
GPL35689,"Illumina NextSeq 500 (Hepacivirus hominis; Homo sapiens)","high-throughput sequencing","Hepacivirus hominis;Homo sapiens",0,4,1,"GEO","Mar 19, 2025"
GPL35480,"Human/Rat Placenta & Trophoblast-50 Nucleos(t)ide Homeostasis Maintaining Genes v1.0","RT-PCR","Homo sapiens;Rattus norvegicus",0,13,1,"Mohammed Ali","Mar 08, 2025"
GPL32051,"5K BAC CGH array - hg18 liftover hg38","spotted DNA/cDNA","Homo sapiens",4337,63,2,"Elodie chapeaublanc","Mar 06, 2025"
GPL35443,"Utz Lab ACA Array version 3","spotted peptide or protein","Homo sapiens",38,151,1,"Allan Feng","Feb 26, 2025"
GPL35445,"Utz Lab ACA Array version prototype","spotted peptide or protein","Homo sapiens",21,21,1,"Allan Feng","Feb 26, 2025"
GPL35447,"Utz Lab CTD Array version prototype","spotted peptide or protein","Homo sapiens",21,25,1,"Allan Feng","Feb 26, 2025"
GPL35448,"Utz Lab CTD Array version 3","spotted peptide or protein","Homo sapiens",52,151,1,"Allan Feng","Feb 26, 2025"
GPL35453,"Utz Lab Protein Fragment Array","spotted peptide or protein","Homo sapiens",1103,121,1,"Allan Feng","Feb 26, 2025"
GPL35454,"Illumina NextSeq 500 (Homo sapiens; Human immunodeficiency virus 2)","high-throughput sequencing","Homo sapiens;Human immunodeficiency virus 2",0,2,1,"GEO","Feb 26, 2025"
GPL35455,"Illumina NextSeq 500 (Homo sapiens; Simian immunodeficiency virus)","high-throughput sequencing","Homo sapiens;Simian immunodeficiency virus",0,2,1,"GEO","Feb 26, 2025"
GPL33021,"PrimeScript RT-PCR Kit (RR014B, Takara).","RT-PCR","Homo sapiens",82,4,1,"Liu Rui","Feb 20, 2025"
GPL34832,"ISMMS-Human 1.3k [SOMAscan Assay v 1.3k]","spotted peptide or protein","Homo sapiens",1305,53,1,"Joseph Castellano","Feb 19, 2025"
GPL35417,"DNBSEQ-G400 FAST (Homo sapiens)","high-throughput sequencing","Homo sapiens",0,43,1,"GEO","Feb 14, 2025"
GPL35386,"Hu_TregsPlus (Pesenacker)","other","Homo sapiens",48,229,1,"Anne M Pesenacker","Feb 12, 2025"
GPL35403,"NextSeq 550 (Homo sapiens; Pneumocystis jirovecii RU7)","high-throughput sequencing","Homo sapiens;Pneumocystis jirovecii RU7",0,2,1,"GEO","Feb 11, 2025"
GPL31932,"NanoString nCounter custom mRNA expression platform","other","Homo sapiens",198,48,1,"Luciano Cascione","Feb 10, 2025"
GPL30506,"NanoString nCounter Human Host Response V1.0 Panel","in situ oligonucleotide","Homo sapiens",785,319,2,"Sarah Unterberger","Feb 07, 2025"
GPL35368,"Agilent-085589 GenetiSure Cyto CGH Microarray 4x180K  G5983B G5983A","in situ oligonucleotide","Homo sapiens",179393,0,0,"Agilent Technologies","Feb 07, 2025"
GPL35384,"Illumina NovaSeq 6000 (Homo sapiens/Rattus norvegicus xenograft)","high-throughput sequencing","Homo sapiens/Rattus norvegicus xenograft",0,0,0,"GEO","Feb 07, 2025"
GPL34587,"[Clariom_S_Human] Affymetrix Clariom S Assay [gene level]","in situ oligonucleotide","Homo sapiens",18513,8,1,"Sallam Hasan Saleem Abdallah Abdallah","Feb 05, 2025"
GPL35130,"Human miRCURY LNA miRNA Focus PCR Inflammation Panel","RT-PCR","Homo sapiens",96,4,1,"Lourdes Mounien","Feb 05, 2025"
GPL34163,"Nanostring nCounter Elements TagSets","other","Homo sapiens",31,0,0,"Irina Voineagu","Feb 01, 2025"
GPL35338,"Spatial Genomics GenePS: Human","other","Homo sapiens",0,3,1,"GEO admin","Jan 28, 2025"
GPL34529,"3D-Gene® Human custom miRNA chip for PBca","spotted oligonucleotide","Homo sapiens",0,1403,1,"Satoko Takizawa","Jan 22, 2025"
GPL35315,"Illumina NextSeq 500 (Homo sapiens; Influenza A virus (A/Guangdong-Maonan/51/2009(H1N1)))","high-throughput sequencing","Homo sapiens;Influenza A virus (A/Guangdong-Maonan/51/2009(H1N1))",0,0,0,"GEO","Jan 21, 2025"
GPL31282,"Immune Monitoring 65-Plex Human ProcartaPlex™ Panel","spotted peptide or protein","Homo sapiens",65,182,1,"Lorinda Chung","Jan 20, 2025"
GPL31283,"Immune Monitoring 14-Plex Human ProcartaPlex™ Panel","spotted peptide or protein","Homo sapiens",0,182,1,"Lorinda Chung","Jan 20, 2025"
GPL35296,"TaqMan Array Human Cytokine Network 96-well Plate (REF. 4418901, Applied Biosystems, USA)","RT-PCR","Homo sapiens",84,6,2,"Hairui Ou","Jan 17, 2025"
GPL35297,"TaqMan Array Human Inflammation 96-well Plate (REF. 4418851, Applied Biosystems, USA)","RT-PCR","Homo sapiens",92,3,1,"Hairui Ou","Jan 17, 2025"
GPL35065,"Zhu Lab Human TF Arrays 1.7K v1.0","spotted peptide or protein","Homo sapiens",3110,31,1,"Yijing Su","Jan 15, 2025"
GPL35240,"Custom nCounter Human Immune System Panel","other","Homo sapiens",81,114,1,"Marion Debombourg","Jan 15, 2025"
GPL35241,"Custom nCounter Human Immune System Panel II","other","Homo sapiens",121,256,1,"Marion Debombourg","Jan 15, 2025"
GPL35292,"Illumina NovaSeq 6000 (Homo sapiens; Human rhinovirus 1A)","high-throughput sequencing","Homo sapiens;Human rhinovirus 1A",0,0,0,"GEO","Jan 13, 2025"
GPL35272,"Illumina NovaSeq 6000 (Homo sapiens; Mus)","high-throughput sequencing","Homo sapiens;Mus",0,0,0,"GEO","Jan 08, 2025"
GPL35275,"Illumina NovaSeq 6000 (HIV-1 group M; Homo sapiens)","high-throughput sequencing","HIV-1 group M;Homo sapiens",0,0,0,"GEO","Jan 08, 2025"
GPL35268,"Illumina NovaSeq X (Homo sapiens; Mus musculus)","high-throughput sequencing","Homo sapiens;Mus musculus",0,0,0,"GEO","Jan 06, 2025"
GPL34064,"Nanostring nCounter Human Immunology V2 panel (NS_IMMUNOLOGY_V2_2328)","other","Homo sapiens",579,17,2,"Sudarson Sundarrajan","Jan 01, 2025"
GPL34748,"NanoString Human Immunology v2 +  PLS_NS_Coronavirus_v1 Code Set (NS_Immunology_v2_C2328+PLS_NS_Coronavirus_v1.0)","other","Homo sapiens",608,118,1,"Johan Van Weyenbergh","Jan 01, 2025"
GPL33583,"Nanostring Human PanCancer Immune Panel [NS_CancerImmune_V1.1+PLS_Freyja_2_C6175]","other","Homo sapiens",815,0,0,"Andreas Hagen Røssevold","Dec 31, 2024"
GPL35255,"Agilent-035726 110726 UPitt Quasar CGH","in situ oligonucleotide","Homo sapiens",13050,6,1,"Quasar Padiath","Dec 29, 2024"
GPL35254,"Ion Torrent Genexus (Homo sapiens)","high-throughput sequencing","Homo sapiens",0,0,0,"GEO","Dec 28, 2024"
GPL35247,"Nanostring nCounter Metabolic Pathways Panel (NS_Hs_Metabolism_v1.0+PLS_SVRNC_C11049)","other","Homo sapiens",803,53,1,"Grayson Welch Way","Dec 26, 2024"
GPL35249,"Nanostring nCounter Human Custom Breast Cancer Panel","other","Homo sapiens",128,80,1,"Yate-Ching Yuan","Dec 25, 2024"
GPL35245,"Illumina NovaSeq 6000 (Homo sapiens; Powassan virus)","high-throughput sequencing","Homo sapiens;Powassan virus",0,0,0,"GEO","Dec 23, 2024"
GPL35238,"NextSeq 550 (Homo sapiens; Staphylococcus aureus subsp. aureus USA300)","high-throughput sequencing","Homo sapiens;Staphylococcus aureus subsp. aureus USA300",0,12,1,"GEO","Dec 20, 2024"
GPL35233,"NextSeq 550 (Homo sapiens; Klebsiella pneumoniae)","high-throughput sequencing","Homo sapiens;Klebsiella pneumoniae",0,0,0,"GEO","Dec 18, 2024"
GPL34860,"Human Neurotrophin and Receptors PCR Array","RT-PCR","Homo sapiens",89,3,1,"Pablo Argueso","Dec 09, 2024"
GPL35167,"Illumina NovaSeq 6000 (Haemophilus influenzae; Homo sapiens; Moraxella catarrhalis)","high-throughput sequencing","Haemophilus influenzae;Homo sapiens;Moraxella catarrhalis",0,6,1,"GEO","Dec 04, 2024"
GPL35169,"Illumina NovaSeq 6000 (Homo sapiens; Moraxella catarrhalis)","high-throughput sequencing","Homo sapiens;Moraxella catarrhalis",0,3,1,"GEO","Dec 04, 2024"
GPL35136,"Fluidigm Human BioMark HD RT-PCR assay","RT-PCR","Homo sapiens",44,92,1,"Daniela Rosendo Silva","Dec 02, 2024"
GPL33988,"Affymetrix HG- U133 PM Plate signals coverted to reads using Partek Microarray Kit","in situ oligonucleotide","Homo sapiens",26560,0,0,"SUNIL KURIAN","Dec 01, 2024"
GPL35092,"nCounter Human Neuroinflammation Panel [Gene ID]","other","Homo sapiens",784,23,1,"Andreia Duarte","Dec 01, 2024"
GPL35146,"MinION (Homo sapiens; Human immunodeficiency virus 1)","high-throughput sequencing","Homo sapiens;Human immunodeficiency virus 1",0,6,1,"GEO","Nov 29, 2024"
GPL35135,"NimbleGen custom 100309_AS_human_100426_pz array","in situ oligonucleotide","Homo sapiens",0,4,1,"Sichuan Xi","Nov 27, 2024"
GPL34510,"Illumina Custom Infinium MethylationEPIC v2.0","oligonucleotide beads","Homo sapiens",944621,3,1,"Dereje Jima","Nov 25, 2024"
GPL34511,"Illumina Custom Human Imprintome array","oligonucleotide beads","Homo sapiens",22819,66,3,"Dereje Jima","Nov 25, 2024"
