MGI Marker Accession ID,Mouse Gene Symbol,Mouse NCBI Gene ID,HGNC ID,Human Gene Symbol,Human NCBI Gene ID
MGI:1915614,0610030E20Rik,68364,HGNC:34353,C2orf68,388969
MGI:1915066,1110002E22Rik,102634333,HGNC:27741,C4orf54,285556
MGI:1929274,1110004F10Rik,56372,HGNC:16990,C11orf58,10944
MGI:1915975,1110032F04Rik,68725,HGNC:40048,C3orf80,401097
MGI:2152337,1110038F14Rik,117171,HGNC:26104,C8orf33,65265
MGI:1913456,1110059E24Rik,66206,HGNC:28784,C9orf85,138241
MGI:1913452,1110059G10Rik,66202,HGNC:29198,KIAA1143,57456
MGI:1916170,1110065P20Rik,68920,HGNC:24789,C1orf122,127687
MGI:1917034,1500009L16Rik,69784,HGNC:35164,C12orf75,387882
MGI:1915162,1600012H06Rik,67912,HGNC:21247,C6orf120,387263
MGI:1919494,1600014C10Rik,72244,HGNC:25443,C19orf12,83636
MGI:1923631,1700001O22Rik,73598,HGNC:23677,C9orf50,375759
MGI:1919087,1700003E16Rik,71837,HGNC:34350,C2orf81,388963
MGI:1922730,1700003F12Rik,75480,HGNC:16137,C20orf144,128864
MGI:1916599,1700008O03Rik,69349,HGNC:40041,C19orf81,342918
MGI:1914181,1700010I14Rik,66931,HGNC:21233,C6orf118,168090
MGI:1914937,1700011L22Rik,67687,HGNC:37264,C4orf51,646603
MGI:1916575,1700012B09Rik,69325,HGNC:49544,C11orf97,643037
MGI:1921468,1700016H13Rik,74218,HGNC:28386,C4orf36,132989
MGI:1921461,1700017B05Rik,74211,HGNC:24497,C15orf39,56905
MGI:1913855,1700017N19Rik,66605,HGNC:26665,C12orf50,160419
MGI:1923655,1700018B08Rik,76405,HGNC:40033,C16orf95,100506581
MGI:1914330,1700019D03Rik,67080,HGNC:28191,AKAP19,84281
MGI:1922906,1700020A23Rik,75656,HGNC:16134,C20orf141,128653
MGI:1913580,1700020L24Rik,66330,HGNC:29581,C17orf50,146853
MGI:1914335,1700024G13Rik,67085,HGNC:27421,C10orf53,282966
MGI:1916649,1700025G04Rik,69399,HGNC:15494,C1orf21,81563
MGI:1923671,1700028K03Rik,76421,HGNC:24032,C1orf146,388649
MGI:1913751,1700029H14Rik,66501,HGNC:53786,C13orf46,100507747
MGI:1916778,1700030J22Rik,69528,HGNC:26525,C16orf46,123775
MGI:1919504,1700030K09Rik,72254,HGNC:26141,C19orf44,84167
MGI:1925664,1700034E13Rik,78414,HGNC:53564,ZNF475,100505841
MGI:1920594,1700034J05Rik,73344,HGNC:34452,C12orf71,728858
MGI:1920511,1700037C18Rik,73261,HGNC:34455,C16orf90,646174
MGI:1920717,1700066M21Rik,73467,HGNC:26799,C2orf69,205327
MGI:1920703,1700067K01Rik,73453,HGNC:34354,C19orf67,646457
MGI:1920774,1700088E04Rik,27660,HGNC:18589,C22orf23,84645
MGI:1914608,1700093K21Rik,67358,HGNC:34439,C2orf74,339804
MGI:2148248,1700102P08Rik,112418,HGNC:24771,C3orf62,375341
MGI:1923890,1700113H08Rik,76640,HGNC:24729,C12orf42,374470
MGI:1920893,1700123O20Rik,58248,HGNC:20270,C14orf119,55017
MGI:1913526,1810009A15Rik,66276,HGNC:51238,C11orf98,102288414
MGI:1916316,1810010H24Rik,69066,HGNC:27568,C17orf58,284018
MGI:1916405,1810030O07Rik,69155,HGNC:28589,CXorf38,159013
MGI:1919306,1810055G02Rik,72056,HGNC:1174,C11orf24,53838
MGI:1917111,2010003K11Rik,69861,HGNC:34442,C11orf86,254439
MGI:1919525,2200002D01Rik,72275,HGNC:16668,C19orf33,64073
MGI:1919607,2210016L21Rik,72357,HGNC:25719,C12orf43,64897
MGI:3588251,2210017I01Rik,545546,HGNC:55921,LCE7A,122526777
MGI:1919621,2210408I21Rik,72371,HGNC:28532,KIAA0825,285600
MGI:1916792,2300002M23Rik,69542,HGNC:13927,C6orf15,29113
MGI:1916728,2300009A05Rik,69478,HGNC:34453,C15orf61,145853
MGI:1916799,2310009B15Rik,69549,HGNC:30003,C1orf53,388722
MGI:1913624,2310011J03Rik,66374,HGNC:26711,C19orf25,148223
MGI:1913617,2310022A10Rik,66367,HGNC:26723,C19orf47,126526
MGI:1916801,2310022B05Rik,69551,HGNC:25900,C1orf198,84886
MGI:1914202,2310030G06Rik,66952,HGNC:30531,C11orf52,91894
MGI:1915112,2310033P09Rik,67862,HGNC:19032,C1orf35,79169
MGI:1914969,2310057J18Rik,67719,HGNC:20960,C6orf58,352999
MGI:1915527,2310057M21Rik,68277,HGNC:25822,C10orf88,80007
MGI:1916912,2310061I04Rik,69662,HGNC:21301,C6orf136,221545
MGI:1914226,2410002F23Rik,668661,HGNC:29667,C19orf48P,84798
MGI:1913671,2410004B18Rik,66421,HGNC:24871,C1orf52,148423
MGI:1919557,2510002D24Rik,72307,HGNC:27012,C22orf39,128977
MGI:1919440,2510009E07Rik,72190,HGNC:33731,C3orf70,285382
MGI:1924284,2510039O18Rik,77034,HGNC:28513,KIAA2013,90231
MGI:1924214,2610028H24Rik,76964,HGNC:1300,C21orf58,54058
MGI:1913701,2610528J11Rik,66451,HGNC:28755,C1orf210,149466
MGI:1924217,2700049A03Rik,76967,HGNC:19960,KIAA0586,9786
MGI:1915296,2700062C07Rik,68046,HGNC:28802,RMP24,83608
MGI:1920042,2810459M11Rik,72792,HGNC:27418,C2orf72,257407
MGI:1920194,2900026A02Rik,243219,HGNC:29345,KIAA1671,85379
MGI:1920340,2900092C05Rik,73090,HGNC:28642,C19orf18,147685
MGI:1920353,3110009E18Rik,73103,HGNC:27017,C2orf76,130355
MGI:1914540,3110040N11Rik,67290,HGNC:28443,C15orf40,123207
MGI:3588196,3425401B19Rik,100504518,HGNC:26973,C10orf71,118461
MGI:1914642,4833420G17Rik,67392,HGNC:24738,C5orf34,375444
MGI:1921162,4833439L19Rik,97820,HGNC:29209,KIAA1191,57179
MGI:1918087,4921504E06Rik,70909,HGNC:28716,C10orf67,256815
MGI:1918150,4921517D22Rik,70900,HGNC:31456,C9orf153,389766
MGI:1913964,4921524J17Rik,66714,HGNC:33754,C16orf87,388272
MGI:1914680,4921536K21Rik,67430,HGNC:35121,C5orf52,100190949
MGI:1918191,4921539E11Rik,70941,HGNC:32044,C1orf141,400757
MGI:2685593,4930407I10Rik,328573,HGNC:26294,C22orf46P,79640
MGI:1923049,4930444P10Rik,75799,HGNC:51258,C8orf89,100130301
MGI:1923051,4930447C04Rik,75801,HGNC:19849,C14orf39,317761
MGI:1925368,4930451I11Rik,78118,HGNC:26346,C16orf92,146378
MGI:1914859,4930453N24Rik,67609,HGNC:28384,C3orf38,285237
MGI:1924124,4930469K13Rik,76874,HGNC:37272,C5orf58,133874
MGI:1922045,4930503L19Rik,269033,HGNC:13796,C18orf54,162681
MGI:1914896,4930522H14Rik,67646,HGNC:28096,C1orf185,284546
MGI:1914897,4930523C07Rik,67647,HGNC:28950,KIAA0040,9674
MGI:1914842,4930524B15Rik,67592,HGNC:27026,C5orf47,133491
MGI:2148639,4930544D05Rik,668433,HGNC:37238,C17orf107,100130311
MGI:1922561,4930550C14Rik,75311,HGNC:28519,C11orf65,160140
MGI:1922618,4930558K02Rik,75368,HGNC:29591,C1orf105,92346
MGI:1926059,4930562C15Rik,78809,HGNC:40031,C16orf96,342346
MGI:1922554,4930563E22Rik,75304,HGNC:34494,C17orf100,388327
MGI:1915000,4930578I06Rik,67750,HGNC:32296,C8orf74,203076
MGI:1914991,4930579F01Rik,67741,HGNC:25274,C4orf17,84103
MGI:1923189,4930579G24Rik,75939,HGNC:27320,C4orf46,201725
MGI:2685917,4930590J08Rik,381798,HGNC:25320,C3orf20,84077
MGI:1918234,4931406C07Rik,70984,HGNC:30204,BKGD,28970
MGI:1921609,4931414P19Rik,74359,HGNC:20162,C14orf93,60686
MGI:3607717,4933402J07Rik,330820,HGNC:28479,C16orf78,123970
MGI:1914681,4933402N03Rik,233918,HGNC:25707,C10orf120,399814
MGI:1918296,4933405L10Rik,71046,HGNC:33755,C16orf86,388284
MGI:1914015,4933411K16Rik,66765,HGNC:23294,C10orf62,414157
MGI:1918416,4933424G06Rik,71166,HGNC:49272,C2orf92,728537
MGI:1921727,4933427D14Rik,74477,HGNC:29110,KIAA0753,9851
MGI:3045314,4933430I17Rik,214106,HGNC:23570,C9orf43,257169
MGI:1914027,4933434E20Rik,99650,HGNC:29876,LTAP1,25912
MGI:2444899,5031439G07Rik,223739,HGNC:1314,KIAA0930,23313
MGI:3609248,5730409E04Rik,230757,HGNC:26800,C1orf216,127703
MGI:1917841,5730455P16Rik,70591,HGNC:30173,C17orf75,64149
MGI:1925127,6030458C11Rik,77877,HGNC:25639,C5orf22,55322
MGI:1924977,6030468B19Rik,77727,HGNC:34490,C17orf99,100141515
MGI:2443793,6430548M08Rik,234797,HGNC:29058,KIAA0513,9764
MGI:2443361,6430550D23Rik,320095,HGNC:16166,C20orf173,140873
MGI:2445137,6430571L13Rik,235599,HGNC:24837,C3orf18,51161
MGI:3045333,6820408C15Rik,228778,HGNC:16227,C20orf96,140680
MGI:1918833,9130008F23Rik,71583,HGNC:21351,C6orf141,135398
MGI:3036239,9330159F19Rik,212448,HGNC:21636,KIAA0408,9729
MGI:2444364,9430015G10Rik,230996,HGNC:26062,C1orf159,54991
MGI:1924502,9430038I01Rik,77252,HGNC:48677,C10orf143,387723
MGI:2654705,9530068E07Rik,213673,HGNC:20656,C5orf15,56951
MGI:2145726,9930012K11Rik,268759,HGNC:32233,C8orf58,541565
MGI:87853,a,50518,HGNC:745,ASIP,434
MGI:2441776,A130010J15Rik,319266,HGNC:26319,C1orf74,148304
MGI:2152878,A1bg,117586,HGNC:5,A1BG,1
MGI:1917115,A1cf,69865,HGNC:24086,A1CF,29974
MGI:2449119,A2m,232345,HGNC:7,A2M,2
MGI:2685279,A3galt2,215493,HGNC:30005,A3GALT2,127550
MGI:2140680,A430005L14Rik,97159,HGNC:27915,C1orf174,339448
MGI:3512453,A4galt,239559,HGNC:18149,A4GALT,53947
MGI:2143261,A4gnt,333424,HGNC:17968,A4GNT,51146
MGI:2443020,A530016L24Rik,319942,HGNC:33795,C14orf180,400258
MGI:2444149,A830018L16Rik,320492,HGNC:30905,C8orf34,116328
MGI:1915493,A930018P22Rik,68243,HGNC:34444,C11orf91,100131378
MGI:2138143,AA986860,212439,HGNC:28667,C1orf116,79098
MGI:2443767,Aaas,223921,HGNC:13666,AAAS,8086
MGI:1926144,Aacs,78894,HGNC:21298,AACS,65985
MGI:1915008,Aadac,67758,HGNC:17,AADAC,13
MGI:3646333,Aadacl2,639634,HGNC:24427,AADACL2,344752
MGI:2685281,Aadacl3,230883,HGNC:32037,AADACL3,126767
MGI:1345167,Aadat,23923,HGNC:17929,AADAT,51166
MGI:1914189,Aagab,66939,HGNC:25662,AAGAB,79719
MGI:1098687,Aak1,269774,HGNC:19679,AAK1,22848
